      Time            FairTen1            FairTen2            FairTen3            FairTen4            FairTen5            FairTen6            FairTen7            FairTen8            FairTen9           FairTen10           FairTen11           FairTen12
    0.0000       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05
    0.0200       1.3196427e+05       1.3196428e+05       1.3196426e+05       1.3196428e+05       1.3196425e+05       1.3196427e+05       1.3196426e+05       1.3196428e+05       1.3196427e+05       1.3196427e+05       1.3196426e+05       1.3196426e+05
    0.0400       1.3187203e+05       1.3187212e+05       1.3191794e+05       1.3187262e+05       1.3191787e+05       1.3187257e+05       1.3189622e+05       1.3189629e+05       1.3190310e+05       1.3191016e+05       1.3190304e+05       1.3191010e+05
    0.0600       1.3156266e+05       1.3156292e+05       1.3175401e+05       1.3156253e+05       1.3175382e+05       1.3156244e+05       1.3166305e+05       1.3166323e+05       1.3169500e+05       1.3172821e+05       1.3169488e+05       1.3172808e+05
    0.0800       1.3102797e+05       1.3102851e+05       1.3142858e+05       1.3102141e+05       1.3142825e+05       1.3102127e+05       1.3123777e+05       1.3123814e+05       1.3131340e+05       1.3139342e+05       1.3131323e+05       1.3139318e+05
    0.1000       1.3030881e+05       1.3030973e+05       1.3093353e+05       1.3028900e+05       1.3093305e+05       1.3028881e+05       1.3063697e+05       1.3063763e+05       1.3076876e+05       1.3091133e+05       1.3076852e+05       1.3091097e+05
    0.1200       1.2932348e+05       1.2932489e+05       1.3026551e+05       1.2929102e+05       1.3026490e+05       1.2929081e+05       1.2982327e+05       1.2982431e+05       1.3002690e+05       1.3025209e+05       1.3002663e+05       1.3025161e+05
    0.1400       1.2815697e+05       1.2815898e+05       1.2945110e+05       1.2811020e+05       1.2945039e+05       1.2811001e+05       1.2884992e+05       1.2885142e+05       1.2913455e+05       1.2945523e+05       1.2913428e+05       1.2945466e+05
    0.1600       1.2682477e+05       1.2682746e+05       1.2852063e+05       1.2676434e+05       1.2851984e+05       1.2676420e+05       1.2773964e+05       1.2774167e+05       1.2811360e+05       1.2854068e+05       1.2811335e+05       1.2854002e+05
    0.1800       1.2533004e+05       1.2533348e+05       1.2749536e+05       1.2525708e+05       1.2749449e+05       1.2525702e+05       1.2650322e+05       1.2650585e+05       1.2697691e+05       1.2752182e+05       1.2697672e+05       1.2752110e+05
    0.2000       1.2372535e+05       1.2372960e+05       1.2639635e+05       1.2363799e+05       1.2639539e+05       1.2363799e+05       1.2517416e+05       1.2517743e+05       1.2575666e+05       1.2642790e+05       1.2575652e+05       1.2642711e+05
    0.2200       1.2199981e+05       1.2200493e+05       1.2523006e+05       1.2189660e+05       1.2522899e+05       1.2189666e+05       1.2374975e+05       1.2375369e+05       1.2445238e+05       1.2525995e+05       1.2445228e+05       1.2525909e+05
    0.2400       1.2015599e+05       1.2016202e+05       1.2399456e+05       1.2003471e+05       1.2399334e+05       1.2003480e+05       1.2222955e+05       1.2223421e+05       1.2306436e+05       1.2401865e+05       1.2306428e+05       1.2401771e+05
    0.2600       1.1819955e+05       1.1820655e+05       1.2268542e+05       1.1805754e+05       1.2268402e+05       1.1805764e+05       1.2061409e+05       1.2061950e+05       1.2159239e+05       1.2270323e+05       1.2159233e+05       1.2270220e+05
    0.2800       1.1611272e+05       1.1612073e+05       1.2129396e+05       1.1594846e+05       1.2129236e+05       1.1594855e+05       1.1889102e+05       1.1889722e+05       1.2002451e+05       1.2130245e+05       1.2002444e+05       1.2130134e+05
    0.3000       1.1389754e+05       1.1390662e+05       1.1981476e+05       1.1370959e+05       1.1981296e+05       1.1370966e+05       1.1705876e+05       1.1706580e+05       1.1835813e+05       1.1981294e+05       1.1835807e+05       1.1981174e+05
    0.3200       1.1155417e+05       1.1156437e+05       1.1824640e+05       1.1134160e+05       1.1824439e+05       1.1134165e+05       1.1511663e+05       1.1512457e+05       1.1659198e+05       1.1823264e+05       1.1659194e+05       1.1823138e+05
    0.3400       1.0908275e+05       1.0909412e+05       1.1659058e+05       1.0884507e+05       1.1658838e+05       1.0884510e+05       1.1306513e+05       1.1307400e+05       1.1472651e+05       1.1656147e+05       1.1472650e+05       1.1656018e+05
