      Time            FairTen1            FairTen2            FairTen3            FairTen4            FairTen5            FairTen6            FairTen7            FairTen8            FairTen9           FairTen10           FairTen11           FairTen12
    0.0000       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05
    0.0200       1.3196437e+05       1.3196438e+05       1.3196436e+05       1.3196438e+05       1.3196435e+05       1.3196437e+05       1.3196436e+05       1.3196438e+05       1.3196438e+05       1.3196438e+05       1.3196436e+05       1.3196437e+05
    0.0400       1.3187386e+05       1.3187395e+05       1.3192053e+05       1.3187461e+05       1.3192046e+05       1.3187456e+05       1.3189841e+05       1.3189847e+05       1.3190517e+05       1.3191205e+05       1.3190512e+05       1.3191199e+05
    0.0600       1.3157208e+05       1.3157234e+05       1.3176649e+05       1.3157261e+05       1.3176630e+05       1.3157251e+05       1.3167367e+05       1.3167385e+05       1.3170514e+05       1.3173734e+05       1.3170503e+05       1.3173721e+05
    0.0800       1.3105643e+05       1.3105695e+05       1.3146313e+05       1.3105105e+05       1.3146280e+05       1.3105091e+05       1.3126764e+05       1.3126800e+05       1.3134233e+05       1.3141949e+05       1.3134216e+05       1.3141926e+05
    0.1000       1.3037280e+05       1.3037367e+05       1.3100649e+05       1.3035423e+05       1.3100602e+05       1.3035403e+05       1.3070063e+05       1.3070125e+05       1.3083132e+05       1.3096798e+05       1.3083107e+05       1.3096762e+05
    0.1200       1.2944312e+05       1.2944445e+05       1.3039782e+05       1.2941132e+05       1.3039721e+05       1.2941110e+05       1.2993879e+05       1.2993976e+05       1.3014173e+05       1.3035656e+05       1.3014145e+05       1.3035608e+05
    0.1400       1.2835256e+05       1.2835444e+05       1.2966311e+05       1.2830513e+05       1.2966239e+05       1.2830492e+05       1.2903536e+05       1.2903675e+05       1.2932031e+05       1.2962498e+05       1.2932001e+05       1.2962439e+05
    0.1600       1.2711388e+05       1.2711638e+05       1.2883027e+05       1.2705090e+05       1.2882944e+05       1.2705073e+05       1.2801101e+05       1.2801288e+05       1.2838676e+05       1.2879131e+05       1.2838646e+05       1.2879061e+05
    0.1800       1.2572543e+05       1.2572861e+05       1.2791632e+05       1.2564781e+05       1.2791539e+05       1.2564768e+05       1.2687282e+05       1.2687522e+05       1.2734998e+05       1.2786528e+05       1.2734971e+05       1.2786449e+05
