      Time            FairTen1            FairTen2            FairTen3            FairTen4            FairTen5            FairTen6            FairTen7            FairTen8            FairTen9           FairTen10           FairTen11           FairTen12
    0.0000       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05
    0.0200       1.3196437e+05       1.3196439e+05       1.3196437e+05       1.3196438e+05       1.3196435e+05       1.3196437e+05       1.3196436e+05       1.3196438e+05       1.3196438e+05       1.3196438e+05       1.3196436e+05       1.3196436e+05
    0.0400       1.3184799e+05       1.3184808e+05       1.3192705e+05       1.3186402e+05       1.3192694e+05       1.3186394e+05       1.3189444e+05       1.3189451e+05       1.3190596e+05       1.3191539e+05       1.3190588e+05       1.3191530e+05
    0.0600       1.3146294e+05       1.3146323e+05       1.3179302e+05       1.3152701e+05       1.3179269e+05       1.3152682e+05       1.3165513e+05       1.3165531e+05       1.3170881e+05       1.3175296e+05       1.3170862e+05       1.3175275e+05
    0.0800       1.3082452e+05       1.3082510e+05       1.3151690e+05       1.3095169e+05       1.3151630e+05       1.3095137e+05       1.3122345e+05       1.3122381e+05       1.3135110e+05       1.3145691e+05       1.3135078e+05       1.3145652e+05
    0.1000       1.3000535e+05       1.3000634e+05       1.3108726e+05       1.3019290e+05       1.3108633e+05       1.3019238e+05       1.3062295e+05       1.3062357e+05       1.3084687e+05       1.3103425e+05       1.3084638e+05       1.3103362e+05
    0.1200       1.2888703e+05       1.2888854e+05       1.3051759e+05       1.2916544e+05       1.3051627e+05       1.2916472e+05       1.2981763e+05       1.2981860e+05       1.3016623e+05       1.3046074e+05       1.3016557e+05       1.3045983e+05
    0.1400       1.2758678e+05       1.2758890e+05       1.2982536e+05       1.2796485e+05       1.2982365e+05       1.2796393e+05       1.2886464e+05       1.2886603e+05       1.2935514e+05       1.2977272e+05       1.2935431e+05       1.2977152e+05
    0.1600       1.2611069e+05       1.2611350e+05       1.2904137e+05       1.2660469e+05       1.2903923e+05       1.2660355e+05       1.2778538e+05       1.2778726e+05       1.2843318e+05       1.2898749e+05       1.2843217e+05       1.2898596e+05
    0.1800       1.2444800e+05       1.2445158e+05       1.2818578e+05       1.2508086e+05       1.2818317e+05       1.2507950e+05       1.2658613e+05       1.2658854e+05       1.2740936e+05       1.2811518e+05       1.2740817e+05       1.2811333e+05
