      Time            FairTen1            FairTen2            FairTen3            FairTen4            FairTen5            FairTen6            FairTen7            FairTen8
    0.0000       9.4050466e+04       9.4050466e+04       9.4050466e+04       9.4050466e+04       9.4050466e+04       9.4050466e+04       9.4050466e+04       9.4050466e+04
    0.0200       9.4234813e+04       9.4234808e+04       9.4234809e+04       9.4234802e+04       9.4234791e+04       9.4234787e+04       9.4234786e+04       9.4234802e+04
    0.0400       9.4996561e+04       9.4996542e+04       9.4996545e+04       9.4996515e+04       9.4996447e+04       9.4996416e+04       9.4996413e+04       9.4996493e+04
    0.0600       9.5747039e+04       9.5747008e+04       9.5747037e+04       9.5746987e+04       9.5746768e+04       9.5746680e+04       9.5746651e+04       9.5746820e+04
    0.0800       9.7081515e+04       9.7081507e+04       9.7081560e+04       9.7081495e+04       9.7081020e+04       9.7080805e+04       9.7080752e+04       9.7081040e+04
    0.1000       9.8589845e+04       9.8589909e+04       9.8589991e+04       9.8589931e+04       9.8589061e+04       9.8588634e+04       9.8588551e+04       9.8588975e+04
    0.1200       1.0054009e+05       1.0054029e+05       1.0054039e+05       1.0054035e+05       1.0053898e+05       1.0053825e+05       1.0053815e+05       1.0053872e+05
    0.1400       1.0268506e+05       1.0268544e+05       1.0268556e+05       1.0268556e+05       1.0268356e+05       1.0268245e+05       1.0268233e+05       1.0268305e+05
    0.1600       1.0514306e+05       1.0514366e+05       1.0514379e+05       1.0514385e+05       1.0514115e+05       1.0513960e+05       1.0513947e+05       1.0514036e+05
    0.1800       1.0779411e+05       1.0779496e+05       1.0779509e+05       1.0779521e+05       1.0779174e+05       1.0778971e+05       1.0778957e+05       1.0779064e+05
    0.2000       1.1069645e+05       1.1069753e+05       1.1069768e+05       1.1069784e+05       1.1069357e+05       1.1069105e+05       1.1069090e+05       1.1069217e+05
    0.2200       1.1381182e+05       1.1381313e+05       1.1381329e+05       1.1381349e+05       1.1380837e+05       1.1380536e+05       1.1380519e+05       1.1380670e+05
    0.2400       1.1717151e+05       1.1717303e+05       1.1717321e+05       1.1717345e+05       1.1716745e+05       1.1716394e+05       1.1716376e+05       1.1716551e+05
    0.2600       1.2076942e+05       1.2077115e+05       1.2077135e+05       1.2077161e+05       1.2076469e+05       1.2076067e+05       1.2076047e+05       1.2076250e+05
    0.2800       1.2461486e+05       1.2461680e+05       1.2461701e+05       1.2461730e+05       1.2460940e+05       1.2460485e+05       1.2460464e+05       1.2460697e+05
    0.3000       1.2870176e+05       1.2870392e+05       1.2870413e+05       1.2870445e+05       1.2869552e+05       1.2869042e+05       1.2869021e+05       1.2869284e+05
    0.3200       1.3302079e+05       1.3302318e+05       1.3302338e+05       1.3302373e+05       1.3301372e+05       1.3300804e+05       1.3300784e+05       1.3301078e+05
    0.3400       1.3755847e+05       1.3756109e+05       1.3756127e+05       1.3756166e+05       1.3755052e+05       1.3754423e+05       1.3754406e+05       1.3754732e+05
    0.3600       1.4229757e+05       1.4230044e+05       1.4230057e+05       1.4230101e+05       1.4228869e+05       1.4228179e+05       1.4228167e+05       1.4228525e+05
    0.3800       1.4722280e+05       1.4722592e+05       1.4722597e+05       1.4722647e+05       1.4721293e+05       1.4720543e+05       1.4720537e+05       1.4720927e+05
    0.4000       1.5231850e+05       1.5232183e+05       1.5232180e+05       1.5232234e+05       1.5230759e+05       1.5229948e+05       1.5229952e+05       1.5230375e+05
    0.4200       1.5757234e+05       1.5757588e+05       1.5757573e+05       1.5757632e+05       1.5756034e+05       1.5755166e+05       1.5755181e+05       1.5755637e+05
    0.4400       1.6297267e+05       1.6297638e+05       1.6297607e+05       1.6297671e+05       1.6295951e+05       1.6295027e+05       1.6295058e+05       1.6295547e+05
    0.4600       1.6850940e+05       1.6851325e+05       1.6851275e+05       1.6851344e+05       1.6849502e+05       1.6848528e+05       1.6848577e+05       1.6849098e+05
    0.4800       1.7417191e+05       1.7417587e+05       1.7417514e+05       1.7417588e+05       1.7415625e+05       1.7414602e+05       1.7414675e+05       1.7415228e+05
    0.5000       1.7994919e+05       1.7995323e+05       1.7995222e+05       1.7995302e+05       1.7993219e+05       1.7992152e+05       1.7992253e+05       1.7992836e+05
    0.5200       1.8582889e+05       1.8583296e+05       1.8583162e+05       1.8583248e+05       1.8581047e+05       1.8579941e+05       1.8580076e+05       1.8580688e+05
    0.5400       1.9179761e+05       1.9180169e+05       1.9179994e+05       1.9180088e+05       1.9177770e+05       1.9176630e+05       1.9176804e+05       1.9177443e+05
    0.5600       1.9784099e+05       1.9784502e+05       1.9784281e+05       1.9784384e+05       1.9781952e+05       1.9780783e+05       1.9781004e+05       1.9781667e+05
    0.5800       2.0394422e+05       2.0394816e+05       2.0394541e+05       2.0394653e+05       2.0392110e+05       2.0390919e+05       2.0391194e+05       2.0391880e+05
    0.6000       2.1009241e+05       2.1009620e+05       2.1009282e+05       2.1009406e+05       2.1006756e+05       2.1005549e+05       2.1005886e+05       2.1006591e+05
    0.6200       2.1627092e+05       2.1627450e+05       2.1627040e+05       2.1627177e+05       2.1624423e+05       2.1623209e+05       2.1623618e+05       2.1624338e+05
    0.6400       2.2246549e+05       2.2246879e+05       2.2246389e+05       2.2246540e+05       2.2243687e+05       2.2242474e+05       2.2242965e+05       2.2243697e+05
    0.6600       2.2866228e+05       2.2866524e+05       2.2865942e+05       2.2866109e+05       2.2863164e+05       2.2861960e+05       2.2862543e+05       2.2863283e+05
    0.6800       2.3484777e+05       2.3485031e+05       2.3484344e+05       2.3484531e+05       2.3481497e+05       2.3480314e+05       2.3481000e+05       2.3481743e+05
