      Time            FairTen1            FairTen2            FairTen3            FairTen4            FairTen5            FairTen6            FairTen7            FairTen8
    0.0000       6.5952562e+04       6.5952562e+04       6.5952562e+04       6.5952562e+04       6.5952562e+04       6.5952562e+04       6.5952562e+04       6.5952562e+04
    0.0200       6.6221256e+04       6.6221248e+04       6.6221251e+04       6.6221239e+04       6.6221223e+04       6.6221217e+04       6.6221214e+04       6.6221240e+04
    0.0400       6.7356829e+04       6.7356793e+04       6.7356814e+04       6.7356756e+04       6.7356649e+04       6.7356608e+04       6.7356587e+04       6.7356722e+04
    0.0600       6.8668409e+04       6.8668337e+04       6.8668421e+04       6.8668313e+04       6.8667942e+04       6.8667817e+04       6.8667733e+04       6.8668039e+04
    0.0800       7.0889847e+04       7.0889792e+04       7.0889948e+04       7.0889795e+04       7.0888955e+04       7.0888626e+04       7.0888471e+04       7.0889007e+04
    0.1000       7.3592959e+04       7.3593006e+04       7.3593246e+04       7.3593079e+04       7.3591483e+04       7.3590793e+04       7.3590553e+04       7.3591363e+04
    0.1200       7.7031972e+04       7.7032234e+04       7.7032545e+04       7.7032401e+04       7.7029795e+04       7.7028573e+04       7.7028262e+04       7.7029366e+04
    0.1400       8.0973295e+04       8.0973880e+04       8.0974255e+04       8.0974173e+04       8.0970277e+04       8.0968350e+04       8.0967975e+04       8.0969399e+04
    0.1600       8.5457576e+04       8.5458564e+04       8.5458992e+04       8.5458996e+04       8.5453616e+04       8.5450863e+04       8.5450435e+04       8.5452196e+04
    0.1800       9.0377798e+04       9.0379231e+04       9.0379711e+04       9.0379813e+04       9.0372779e+04       9.0369116e+04       9.0368636e+04       9.0370764e+04
    0.2000       9.5724263e+04       9.5726142e+04       9.5726679e+04       9.5726871e+04       9.5718089e+04       9.5713487e+04       9.5712949e+04       9.5715481e+04
    0.2200       1.0147437e+05       1.0147667e+05       1.0147727e+05       1.0147754e+05       1.0146693e+05       1.0146138e+05       1.0146078e+05       1.0146376e+05
    0.2400       1.0763594e+05       1.0763863e+05       1.0763932e+05       1.0763963e+05       1.0762714e+05       1.0762065e+05       1.0761997e+05       1.0762344e+05
    0.2600       1.1422317e+05       1.1422625e+05       1.1422702e+05       1.1422737e+05       1.1421290e+05       1.1420547e+05       1.1420470e+05       1.1420871e+05
    0.2800       1.2124642e+05       1.2124987e+05       1.2125073e+05       1.2125111e+05       1.2123457e+05       1.2122617e+05       1.2122531e+05       1.2122989e+05
    0.3000       1.2870898e+05       1.2871283e+05       1.2871376e+05       1.2871417e+05       1.2869545e+05       1.2868603e+05       1.2868510e+05       1.2869026e+05
    0.3200       1.3659836e+05       1.3660263e+05       1.3660363e+05       1.3660408e+05       1.3658304e+05       1.3657256e+05       1.3657156e+05       1.3657733e+05
    0.3400       1.4488946e+05       1.4489418e+05       1.4489522e+05       1.4489572e+05       1.4487226e+05       1.4486067e+05       1.4485963e+05       1.4486600e+05
    0.3600       1.5354710e+05       1.5355229e+05       1.5355335e+05       1.5355391e+05       1.5352795e+05       1.5351522e+05       1.5351416e+05       1.5352114e+05
    0.3800       1.6253207e+05       1.6253773e+05       1.6253879e+05       1.6253941e+05       1.6251089e+05       1.6249701e+05       1.6249595e+05       1.6250355e+05
    0.4000       1.7180559e+05       1.7181172e+05       1.7181275e+05       1.7181342e+05       1.7178233e+05       1.7176731e+05       1.7176628e+05       1.7177450e+05
    0.4200       1.8133302e+05       1.8133958e+05       1.8134056e+05       1.8134128e+05       1.8130763e+05       1.8129151e+05       1.8129052e+05       1.8129937e+05
    0.4400       1.9108498e+05       1.9109193e+05       1.9109284e+05       1.9109359e+05       1.9105743e+05       1.9104025e+05       1.9103934e+05       1.9104881e+05
    0.4600       2.0103676e+05       2.0104407e+05       2.0104488e+05       2.0104564e+05       2.0100701e+05       2.0098883e+05       2.0098803e+05       2.0099813e+05
    0.4800       2.1116633e+05       2.1117395e+05       2.1117461e+05       2.1117539e+05       2.1113435e+05       2.1111524e+05       2.1111457e+05       2.1112530e+05
    0.5000       2.2145192e+05       2.2145980e+05       2.2146029e+05       2.2146106e+05       2.2141769e+05       2.2139770e+05       2.2139721e+05       2.2140855e+05
    0.5200       2.3187021e+05       2.3187832e+05       2.3187858e+05       2.3187934e+05       2.3183373e+05       2.3181291e+05       2.3181266e+05       2.3182460e+05
    0.5400       2.4239531e+05       2.4240360e+05       2.4240357e+05       2.4240432e+05       2.4235656e+05       2.4233499e+05       2.4233502e+05       2.4234754e+05
