Angle_deg,Iterations,Converged,Draft_final_m,Freeboard_final_m,zf_final_m,F_OP_total_kN,F_EXT_total_kN,Ls_OP_m,L0_OP_m,Ranchor_OP_m,T_OP_kN,T_EXT_kN,MBL_req_kN,d_eq_mm,d_used_mm,eps_OP_pct,EA_used_kN,Fz_total_OP_kN,Vextra_OP_m3,h_extra_OP_m,Score,LengthPass,NoSlackPass,DiameterPass,ElongationPass,BuoyancyPass,FreeboardPass,StrengthPass,FinalPass,Fwind_kN,Fcurrent_kN,Fwave_kN
10,7,1,3.52419746039032,6.47580253960968,-3.22419746039032,211.301103590576,385.909694450037,135.767635781527,134.722057703766,133.705020325785,107.280381853349,195.931486764632,279.902123949474,18.4231338233789,40,0.776100139488476,13823.0076757951,149.032342465971,14.8213463082441,0.524197895163079,1.11590901117511,0,1,1,1,1,1,1,0,26.2647004656383,19.9953941957048,339.649599788693
11,7,1,3.58434318049008,6.41565681950992,-3.28434318049008,213.669035781864,391.510197207023,123.24186694188,122.279114224799,120.977566728989,108.834106972984,199.418987070001,284.884267242859,18.5863727531889,40,0.787340277351932,13823.0076757951,166.132212913748,16.521937586211,0.584344008066945,1.03104117514661,0,1,1,1,1,1,1,0,26.0552622360067,20.3366456142465,345.11828935677
12,7,1,3.64621414924726,6.35378585075274,-3.34621414924726,216.086785826216,397.260393500259,112.806479320639,111.912209160233,110.341387094711,110.457146582023,203.067713503685,290.096733576693,18.7556374506274,40,0.799081858107044,13823.0076757951,183.722656870187,18.2713166624587,0.646215636361691,0.962297146368156,0,1,1,1,1,1,1,0,25.8398163798328,20.6876856520068,350.73289146842
13,7,1,3.70990675191555,6.29009324808445,-3.40990675191555,218.556651281964,403.168313320472,103.978589103787,103.141749846656,101.313624601335,112.152794498124,206.886648046467,295.552354352095,18.9311772355669,40,0.81134871027027,13823.0076757951,201.83111495971,20.0722125217882,0.709909298140805,0.906034800476401,0,1,1,1,1,1,1,0,25.618027266304,21.0490611742404,356.501224879928
14,8,1,3.77552757925775,6.22447242074225,-3.47552757925775,221.081176477277,409.242836297574,96.4132343743684,95.6251238730178,93.5493492698957,113.924636835096,210.885622401044,301.265174858635,19.113264755177,40,0.82416677692066,13823.0076757951,220.486912789201,21.9275416115165,0.775528141628015,0.859657980986248,0,1,1,1,1,1,1,0,25.3895237271875,21.4213769496482,362.431935620738
15,8,1,3.84317957317745,6.15682042682255,-3.54317957317745,223.662604335215,415.492398867481,89.8574539505402,89.1110931431035,86.7956354554074,115.776283358367,215.074691844474,307.24955977782,19.3021659187226,40,0.837562172240545,13823.0076757951,239.72085683465,23.8403676521867,0.84318052377192,0.821268374799412,0,1,1,1,1,1,1,0,25.153947300235,21.8052170442381,368.533234523008
16,8,1,3.9129813518043,6.0870186481957,-3.6129813518043,226.303603912971,421.926772230547,84.1214666984035,83.4111672343554,80.8627437433262,117.711755742056,219.465091563173,313.521559375961,19.4981817839634,40,0.851563990289726,13823.0076757951,259.566056810534,25.8139834226433,0.912982902801315,0.789447655757822,0,1,1,1,1,1,1,0,24.910884935756,22.2012544669116,374.81463282788
17,8,1,3.9850564689823,6.0149435310177,-3.6850564689823,229.006836896666,428.556054248626,79.0601250313814,78.3811850052238,75.6055735745423,119.73528076102,224.068766560224,320.098237943177,19.7016251384136,40,0.866202808891468,13823.0076757951,280.05766521244,27.8518848574068,0.985058922107246,0.763116828164703,0,1,1,1,1,1,1,0,24.6599063970136,22.6101902305495,381.285957621063
18,8,1,4.05953649833181,5.94046350166819,-3.75953649833181,231.775055513173,435.390940569433,74.5605061245011,73.9089901156277,70.9112552079715,121.851357696414,228.898563392164,326.997947703091,19.912827118954,40,0.881511177265592,13823.0076757951,301.233122526821,29.9577954329152,1.05954027272984,0.741442364579981,0,1,1,1,1,1,1,0,24.4005535209653,23.0327708501911,387.957616198277
19,8,1,4.13656160702159,5.86343839297841,-3.83656160702159,234.611101117928,442.442761402583,70.533429263888,69.9060062579063,66.6906675697265,124.064776289149,233.968307350356,334.240439071937,20.1321383548564,40,0.897523745909464,13823.0076757951,323.132321996786,32.1356825535701,1.13656727289615,0.723772039906085,0,1,1,1,1,1,1,0,24.1323382202854,23.4697915984691,394.840631583828
20,9,1,4.21628948549815,5.78371051450185,-3.91628948549815,237.518203430406,449.724278614595,66.9074934943588,66.3013147844609,62.8724779119302,126.380796324525,239.293290522208,341.847557888869,20.3599473517715,40,0.914278565769918,13823.0076757951,345.79822458021,34.3898187096501,1.21629103103888,0.709590122554653,0,1,1,1,1,1,1,0,23.8547113884391,23.9221471706082,401.947420055548
21,9,1,4.29886637473454,5.70113362526546,-3.99886637473454,240.498897338455,457.247020584234,63.6249241992642,63.0375322225163,59.3989838698012,128.804594929656,244.888928477125,349.841326395893,20.5966204150989,40,0.931813089818364,13823.0076757951,369.27550861563,36.7246471858611,1.29886869620792,0.698485117544231,1,1,1,1,1,1,1,1,23.5671637880202,24.3906673004519,409.289189495762
22,9,1,4.38446800286887,5.61553199713113,-4.08446800286887,243.556487025713,465.025000338631,60.6383667462866,60.0676222439213,56.2229146144565,131.342066530867,250.772809539434,358.246870770621,20.842586500738,40,0.950169960195094,13823.0076757951,393.612832922673,39.1450071278857,1.38447141817122,0.690126802621617,1,1,1,1,1,1,1,1,23.2690835020033,24.8763490244693,416.879567812159
23,9,1,4.4732757677032,5.5267242322968,-4.1732757677032,246.694140072504,473.072513636772,57.9086808869848,57.3527073386814,53.3052218134981,133.99936955642,256.963617227258,367.090881753226,21.0982876118488,40,0.969393728913725,13823.0076757951,418.861799069051,41.6560303392806,1.47328069735166,0.684248910823646,1,1,1,1,1,1,1,1,22.9598388705717,25.3802215473514,424.732453218849
24,9,1,4.56548318091865,5.43451681908135,-4.26548318091865,249.91508534023,481.404700473255,55.403212871779,54.8603522297168,50.6133534578198,136.783059479675,263.481524890681,376.402178415258,21.3641920775499,40,0.98953182033741,13823.0076757951,445.077459539204,44.2631918191198,1.56549017223059,0.680636338339788,1,1,1,1,1,1,1,1,22.6387560512004,25.9033828048381,432.862561617216
25,10,1,4.66130644134476,5.33869355865524,-4.36130644134476,253.22293525354,490.038466462325,53.0944722223638,52.5632490822663,48.1199336237294,139.700297666812,270.348811668386,386.212588097694,21.6408154903226,40,1.0106360420492,13823.0076757951,472.319175716852,46.9723950888195,1.66130863716691,0.679115623030574,1,1,1,1,1,1,1,1,22.3050822006275,26.4470594537412,441.286324807957
26,10,1,4.76094992440176,5.23905007559824,-4.46094992440176,256.620450949689,498.989340827212,50.9592162696481,50.4383106245418,45.8018401872313,142.758205846121,277.588254440396,396.554649200565,21.9286518598655,40,1.03275791487911,13823.0076757951,500.648627282521,49.7897742256554,1.760953040765,0.679546842170289,1,1,1,1,1,1,1,1,21.9581056468317,27.012411067875,450.018824112505
27,10,1,4.86465576036382,5.13534423963618,-4.56465576036382,260.111206551966,508.275907664558,48.9775540510045,48.4657769918883,43.6393201982334,145.964815908001,285.225693564677,407.465276520967,22.2282724983285,40,1.05595554405713,13823.0076757951,530.133117747715,52.722022599907,1.86466011257285,0.681818761572781,1,1,1,1,1,1,1,1,21.5969832485907,27.6008114324297,459.078112983538
28,10,1,4.97267473933745,5.02732526066255,-4.67267473933745,263.698525134884,517.917139602506,47.1324080405569,46.6286831861461,41.6154462250545,149.32852598932,293.288720526166,418.983886465952,22.5402677310182,40,1.08028968435577,13823.0076757951,560.843971717757,55.7762334817888,1.97268072570541,0.685843818227849,1,1,1,1,1,1,1,1,21.2208417095864,28.2136834662674,468.482614426653
29,10,1,5.08527426394713,4.91472573605287,-4.78527426394713,267.385693619151,527.933068261127,45.4090117371577,44.9123596824395,39.7156165470422,152.858260245293,301.807210580601,431.153157972288,22.8652627064717,40,1.10582489593026,13823.0076757951,592.857240808289,58.959970245224,2.08528237979522,0.691554727974639,1,1,1,1,1,1,1,1,20.8287498857212,28.8525443434244,478.251774031981
30,10,1,5.20273933457106,4.79726066542894,-4.90273933457106,271.175929574646,538.344820614916,43.7945213308579,43.3040468178528,37.9271680191024,156.563495937669,310.813527098863,444.019324426947,23.2039192602288,40,1.13262974028309,13823.0076757951,626.253983750676,62.2812942244773,2.20275018621917,0.698901707785452,1,1,1,1,1,1,1,1,20.4197153543494,29.5190110830866,488.40609417748
31,11,1,5.32538786924042,4.67461213075958,-5.02538786924042,275.072793434606,549.175913000639,42.2776745866066,41.7925554295813,36.2390402053639,160.454553743063,320.343480526383,457.633543609119,23.556964893038,40,1.16077888044603,13823.0076757951,661.121635763031,65.748900898837,2.32539168464646,0.707850694309308,1,1,1,1,1,1,1,1,19.9926310676296,30.2148874707756,498.968394462234
32,11,1,5.45351877422068,4.54648122577932,-5.15351877422068,279.078464386729,560.447604672219,40.8486399472604,40.3681195629362,34.6416113378535,164.541649024145,330.433855822749,472.048365461071,23.9250943359364,40,1.19034621757656,13823.0076757951,697.550316692743,69.3717527354112,2.45352385750876,0.718380036457977,1,1,1,1,1,1,1,1,19.5464561801123,30.941869424122,509.959279067985
33,11,1,5.58748687249533,4.41251312750467,-5.28748687249533,283.196040675722,572.18544791858,39.4986619475615,39.0220409075408,33.1263652486457,168.836281789103,341.126462396505,487.323517709293,24.30911202521,40,1.22141494636327,13823.0076757951,735.63863671314,73.1596565687715,2.58749355062788,0.730481212586173,1,1,1,1,1,1,1,1,19.0799551342655,31.7019701178992,521.403522666415
34,11,1,5.72765775100786,4.27234224899214,-5.42765775100786,287.428004998457,584.415218141504,38.2199811842036,37.7466116590635,31.6858004240515,173.350409265905,352.466062750554,503.522946786505,24.7098462643877,40,1.2540715691669,13823.0076757951,775.490549401948,77.1229506379203,2.72766640441272,0.744156379403663,1,1,1,1,1,1,1,1,18.5918548905097,32.4972637988344,533.32609945216
35,11,1,5.87441957349895,4.12558042650105,-5.57441957349895,291.776502739837,597.163873444685,37.0056701797812,36.5349511229148,30.3132703780519,178.09667007124,364.501241013817,520.716058591167,25.128171960436,40,1.28840751772929,13823.0076757951,817.216426763601,81.2726114978345,2.87443063508168,0.759417758724077,1,1,1,1,1,1,1,1,18.0808037927915,33.3299528086222,545.753116843271
36,11,1,6.02818399909961,3.97181600090039,-5.72818399909961,296.243263856042,610.459541817985,35.8495146292227,35.3808879361706,29.0028665751345,183.088406001237,377.284745600202,538.978208000289,25.5650127020069,40,1.32451931081421,13823.0076757951,860.933319306111,85.6202798842506,3.02819794944223,0.776286890279938,1,1,1,1,0,1,1,0,17.5453683698769,34.2023727957874,558.71180065232
37,11,1,6.18938704379938,3.81061295620062,-5.88938704379938,300.829515631712,624.331494293773,34.7459138634988,34.2788613957382,27.7493206404347,188.339681774166,390.873863257597,558.391233225138,26.0213428806081,40,1.36250869703241,13823.0076757951,906.765199578953,90.178284933637,3.18940440149727,0.794794020427566,1,1,1,1,0,1,1,0,16.984030335564,35.1169976034344,572.230466354775
38,12,1,6.35851117684136,3.64148882315864,-6.05851117684136,305.536472533372,638.811921969435,33.6897624009807,33.2238033851133,26.5478950584282,193.865674506936,405.331982492368,579.045689274811,26.4982276099674,40,1.40248547243742,13823.0076757951,954.845017455552,94.9598485821389,3.35851762157896,0.814978409664528,1,1,1,0,0,1,1,0,16.3951096450554,36.0765646385366,586.340247685843
39,12,1,6.53600529251867,3.46399470748133,-6.23600529251867,310.362992358371,653.928969805963,32.6765110426127,32.2112017571093,25.3944185912705,199.681274658181,420.724678656243,601.035255223205,26.9966815373434,40,1.44455735930636,13823.0076757951,1005.30798282573,99.9784175257436,3.53601318927277,0.836884857625861,1,1,1,0,0,1,1,0,15.7770431675768,37.0836208123961,601.06830582599
