time,relative_surge,relative_sway,relative_heave,relative_roll,relative_pitch,relative_yaw
0,25.7,0,0,-4.06575814682064e-20,-1.35525271560688e-20,-4.96308367531817e-24
0.02,25.6999999935188,-4.88640239382221e-11,2.11177537678964e-08,1.43062334365422e-12,5.89199060317506e-09,1.14187926505247e-11
0.04,25.7000233270586,-5.65489521875406e-09,6.57296161614696e-05,3.55285594567899e-09,-2.12064933659493e-05,-2.61236822457117e-09
0.06,25.7000958255864,-3.63555479054867e-08,0.000322186385353085,1.60892334303313e-08,-8.71160054615019e-05,-1.19320012428609e-08
0.08,25.700221890833,-1.1394294219258e-07,0.00083751548813904,4.13630217451392e-08,-0.000201731346349483,-2.69337961788072e-08
0.1,25.7004026736629,-2.58314377887814e-07,0.00164470489488711,8.09919799049413e-08,-0.000366114816903769,-4.80461749201172e-08
0.12,25.7006375149681,-4.79165660038916e-07,0.00274190943225427,1.35347198761814e-07,-0.000579692060147343,-7.51329064855008e-08
0.14,25.7009244590272,-7.74309310003218e-07,0.00410423741473487,2.03451635710433e-07,-0.000840715312338946,-1.07867316742714e-07
0.16,25.7012612060457,-1.13208868235404e-06,0.00569880766537434,2.83682419151065e-07,-0.00114712557124921,-1.45729069218755e-07
0.18,25.7016457410938,-1.53685249237867e-06,0.0074968842468941,3.74349390825316e-07,-0.00149712280744884,-1.88180255968699e-07
0.2,25.7020765799185,-1.97447232963555e-06,0.00948000295699636,4.74136442032522e-07,-0.00188939042430942,-2.34764462534585e-07
0.22,25.7025526960291,-2.43586388570805e-06,0.0116403018537232,5.82261169646998e-07,-0.0023230310793952,-2.85142971475128e-07
0.24,25.7030732787514,-2.91773094041048e-06,0.013977105039193,6.98400678746378e-07,-0.00279734825323735,-3.39058650943729e-07
0.26,25.7036374677345,-3.42106549844345e-06,0.0164922419228692,8.22479495035579e-07,-0.00331160487025571,-3.96261403807689e-07
0.28,25.7042441798305,-3.94860422048282e-06,0.0191861324274667,9.54438699860525e-07,-0.00386486441812587,-4.56442631398307e-07
0.3,25.7048920483468,-4.50245610394973e-06,0.0220556122606039,1.0940681082097e-06,-0.00445593343030167,-5.19201485764234e-07
0.32,25.705579454074,-5.08265964249688e-06,0.0250935437240791,1.24093522297619e-06,-0.0050833874488525,-5.84049349481258e-07
0.34,25.7063046053321,-5.68684538393427e-06,0.0282896869631881,1.39440115915146e-06,-0.00574564222250505,-6.50442241561226e-07
0.36,25.7070656173874,-6.31074088452976e-06,0.0316320848055027,1.55368751013387e-06,-0.00644102520316479,-7.17819346008191e-07
0.38,25.707860567564,-6.94906196230249e-06,0.035108351469193,1.71795544459106e-06,-0.00716782563773424,-7.85632582420103e-07
0.4,25.7086875188591,-7.5963722778738e-06,0.0387065207719561,1.88636863177712e-06,-0.00792431633105856,-8.53359222108096e-07
0.42,25.7095445177935,-8.24766108920016e-06,0.0424153709028197,2.05812709278599e-06,-0.00870875189233439,-9.20498098167327e-07
0.44,25.7104295817925,-8.89857424191121e-06,0.0462243392696586,2.23247371484938e-06,-0.00951935713020447,-9.86557440796889e-07
0.46,25.7113406875811,-9.54536579023113e-06,0.0501232082380407,2.40868367946914e-06,-0.0103543159758913,-1.05104248227839e-06
0.48,25.7122757658442,-1.01846934068561e-05,0.0541017366526342,2.58604765105615e-06,-0.0112117658032555,-1.11344824582968e-06
0.5,25.7132327006635,-1.0813377539165e-05,0.0581493766038648,2.76385446511503e-06,-0.0120897960006907,-1.17325875756926e-06
0.52,25.7142093327573,-1.14282089302975e-05,0.0622551390578501,2.94137853537394e-06,-0.0129864501144449,-1.22995151434081e-06
0.54,25.7152034683813,-1.20258376963278e-05,0.0664075938039606,3.11787673483783e-06,-0.01389973336466,-1.28300566606008e-06
0.56,25.7162128893887,-1.26027434621534e-05,0.0705949641056938,3.2925912577067e-06,-0.0148276214800348,-1.33191058673234e-06
