time,pos_surge,vel_surge,acc_surge,pos_sway,vel_sway,acc_sway,pos_heave,vel_heave,acc_heave,pos_roll,vel_roll,acc_roll,pos_pitch,vel_pitch,acc_pitch,pos_yaw,vel_yaw,acc_yaw
0,25.7,0,-1.69859673026179e-05,2.16840434497101e-19,0,-5.8051304115701e-09,4.1,0,-0.0724047440746918,-4.06575814682064e-20,0,-2.74883993690042e-05,-1.35525271560688e-20,0,-2.835423988832e-06,-4.96308367531817e-24,0,-2.6956963737708e-10
0.02,25.6999999944376,-6.10103386680681e-07,0.0568155543262399,3.41465808584187e-09,4.27445644914825e-07,2.62105667660653e-05,4.09997844586641,-0.00233209471805161,-0.859031889718424,-5.66765975636281e-09,-5.71141708900907e-07,-2.75955482955543e-05,-8.22229651841418e-10,-8.85314623267233e-08,-0.0077441879855587,-1.60596912515481e-12,-1.72332482396514e-10,-6.4816473206458e-07
0.04,25.7000195225365,0.00222591863752082,0.138574545874917,2.20910206415434e-08,1.60441000615225e-06,7.57304153815114e-05,4.09964308068421,-0.0350998270093455,-2.02717890274461,-2.55749196793093e-08,-1.51871953523684e-06,-5.72468226640145e-05,-2.55759053493831e-06,-0.000289112092685293,-0.0177945101869152,-3.65064960599412e-10,-4.3801858659931e-08,-2.93178455892131e-06
0.06,25.7000956870256,0.00556688303177905,0.191466522271173,8.01805527433259e-08,4.59523597476644e-06,0.000193392377360492,4.09844038295276,-0.0889922870882597,-3.17247351574241,-6.99259882151285e-08,-3.01744621620108e-06,-8.74128854659468e-05,-1.25366140802284e-05,-0.00073562191231651,-0.0258167674385588,-2.06212646389158e-09,-1.34982856074637e-07,-5.63636831883959e-06
0.08,25.7002451446994,0.00942509018644591,0.205259713499316,2.24436426715834e-07,1.03663894243929e-05,0.00035478374597141,4.0959722913578,-0.160567449325093,-3.9951671751415,-1.49561162531684e-07,-5.0315637942915e-06,-0.000112846871999562,-3.25889701558412e-05,-0.00128274476852781,-0.0297081514042371,-6.05758490069456e-09,-2.72502996463538e-07,-7.94890791643479e-06
0.1,25.7004720088731,0.013205302247919,0.188314099284721,5.14569448729552e-07,1.91720002676839e-05,0.000513029359796234,4.0919538701807,-0.242478950927012,-4.35299019406368,-2.73467807313849e-07,-7.40967679420217e-06,-0.000127729138339565,-6.39987937711181e-05,-0.00185781574480786,-0.0295176681458886,-1.31244120161491e-08,-4.38181503858695e-07,-8.94524962812046e-06
0.12,25.7007706857247,0.01656673718076,0.159448877247329,1.00638185790219e-06,3.03546207954001e-05,0.000617350496438396,4.08626258553391,-0.326353941154984,-4.25973995395211,-4.46847922211764e-07,-9.93844152047793e-06,-0.000130414025834818,-0.000106695061270889,-0.00240251369414841,-0.0266418235472602,-2.35577178914103e-08,-6.04831089986313e-07,-8.3728716753982e-06
0.14,25.701131889384,0.0194739907544339,0.135337273877654,1.73480648722756e-06,4.25512397164048e-05,0.000637028536635008,4.0789331491152,-0.405220028290425,-3.84344696654074,-6.70553073995748e-07,-1.24067728912915e-05,-0.000122418768182297,-0.000159710203934003,-0.00288673828805515,-0.0228614210547344,-3.71060143469909e-08,-7.47052314002058e-07,-6.55435626438257e-06
0.16,25.7015479594105,0.0220976518363195,0.124477395754396,2.70441251754605e-06,5.41935937207331e-05,0.000572909642145755,4.07011275469106,-0.4749753335544,-3.28416869865697,-9.416730981403e-07,-1.46577790082213e-05,-0.00010771769971717,-0.000221765975746246,-0.00330833987330646,-0.0195961901888217,-5.30965870932192e-08,-8.49418726105605e-07,-4.18079027798727e-06
0.18,25.7020155118978,0.0246654022880188,0.126546424801097,3.89088626988908e-06,6.40581494485961e-05,0.000454777224949205,4.0599983026961,-0.53472163746064,-2.75306549816105,-1.25497202993741e-06,-1.66191898201338e-05,-9.13150600421599e-05,-0.000291745612635878,-0.00368325961523952,-0.0175573796985324,-7.06739958563083e-08,-9.09091212556447e-07,-1.94894815434911e-06
0.2,25.7025352723705,0.0273421768514765,0.135703335454978,5.25214558370544e-06,7.16422028839526e-05,0.000327678408945784,4.04877691327964,-0.586160649792912,-2.36902210046856,-1.60466218207894e-06,-1.83065142470794e-05,-7.77221097327419e-05,-0.000368932205150844,-0.00403325472506169,-0.0167745266278176,-8.90334625079772e-08,-9.33070347241879e-07,-2.96984995213963e-07
0.22,25.7031101615981,0.03017883607762,0.145006449769707,6.74417895702596e-06,7.72473444056849e-05,0.000234176432636285,4.0365847238096,-0.63245310145621,-2.17998109195248,-1.98598519406634e-06,-1.98017935167748e-05,-6.98396748068439e-05,-0.000453021542742575,-0.00437638856068117,-0.0168370188103543,-1.07563906825043e-07,-9.32531971448275e-07,6.88603069800096e-07
0.24,25.7037430556915,0.0331273721669233,0.149698853698961,8.33556967389464e-06,8.1775749745629e-05,0.000200097145956604,4.02349034372419,-0.676971821247328,-2.16811397873412,-2.39620683197857e-06,-2.12182971826558e-05,-6.84390496691926e-05,-0.000543989166872344,-0.00472209970908374,-0.0171936899999789,-1.25872743395032e-07,-9.1725656890257e-07,1.20405315239158e-06
0.26,25.7044352793795,0.0360920983472032,0.148455304369447,1.00159684084524e-05,8.63559539760355e-05,0.000228449191879831,4.0095011589913,-0.722319208608014,-2.27145815545085,-2.83486151072286e-06,-2.26631318859853e-05,-7.234367324133e-05,-0.000641908219159424,-0.00507101946215403,-0.017386847257137,-1.43717674988021e-07,-8.92191987717244e-07,1.57346500994649e-06
0.28,25.7051862135165,0.0389837704404652,0.142794405620349,1.1796652140048e-05,9.19555242653274e-05,0.000302233865781023,3.99458490027357,-0.769804792156096,-2.41191467720092,-3.30332091896685e-06,-2.42087891482093e-05,-7.91472439688131e-05,-0.00074679709458601,-0.00541773630847497,-0.0171652143231109,-1.60897428623218e-07,-8.56753589642267e-07,2.09514034645451e-06
0.3,25.7059938152108,0.0417535601780968,0.135518645371494,1.37043180525886e-05,9.91126096784115e-05,0.000393554791175234,3.97869675258459,-0.819403719859334,-2.52047930452861,-3.80394185113482e-06,-2.58802425675591e-05,-8.61329482656199e-05,-0.000858534804490607,-0.0057544202900876,-0.016488299354175,-1.77152167723198e-07,-8.06248562282854e-07,2.94773775138737e-06
0.32,25.7068555413716,0.0443993817087088,0.129165019792747,1.5771316218467e-05,0.000107854655390946,0.000474607633336653,3.9618032794065,-0.870087474155432,-2.55350720481309,-4.3391186881256e-06,-2.76580160431363e-05,-9.11097561189314e-05,-0.000976845818416962,-0.00607393188603781,-0.0154607714332813,-1.92104416418534e-07,-7.34207113594415e-07,4.16984142964587e-06
0.34,25.707769170486,0.0469514805676557,0.125072192495813,1.80260977137763e-05,0.000117793796640909,0.000526435082301099,3.94389751961709,-0.920338818640252,-2.49790388776831,-4.91052733459799e-06,-2.94931749935932e-05,-9.29231670291976e-05,-0.00110133395138979,-0.00637153904912579,-0.0142453386275653,-2.05246787898619e-07,-6.34513897106499e-07,5.69515531460638e-06
0.36,25.7087332268233,0.0494496968118225,0.123229095037341,2.04868216012339e-05,0.000128331700788103,0.000543004117583885,3.9250034868788,-0.968664585997311,-2.36673565394746,-5.51873338838849e-06,-3.13273958537454e-05,-9.15515234359453e-05,-0.00123153623309817,-0.00664524827278038,-0.0129915295020917,-2.15964672004321e-07,-5.02691300110771e-07,7.41075143636502e-06
0.38,25.7097469638115,0.0519240446736393,0.122709832390211,2.31594380759931e-05,0.000138885681186852,0.000530257548219685,3.90517160651737,-1.01396961452703,-2.18890859263987,-6.1631943839517e-06,-3.31111390897021e-05,-8.78588097821284e-05,-0.00136697303309974,-0.00689521059385248,-0.011795674251523,-2.23574471713601e-07,-3.36212459293079e-07,9.20916259026957e-06
0.4,25.7108100518718,0.0543853219274716,0.122323787388381,2.6039860790633e-05,0.000149059565582605,0.000501582597953288,3.88446866748436,-1.05572589104483,-1.99727342000745,-6.84256582083334e-06,-3.48151802628039e-05,-8.31464461496353e-05,-0.00150718104244552,-0.00712270224062437,-0.0106929695758337,-2.27359938582297e-07,-1.34109261944902e-07,1.10190591372298e-05
0.42,25.7119221858186,0.0568260994836769,0.121157878837039,2.91186374502807e-05,0.000158718317095526,0.000471978687558589,3.86296642077046,-1.09394564097947,-1.81880269055666,-7.55515430079867e-06,-3.64337153779268e-05,-7.86824748861401e-05,-0.00165172588583984,-0.00732918218713522,-0.00967116355892355,-2.26596355081158e-07,1.03731221403736e-07,1.2812367847416e-05
0.44,25.7130827879156,0.0592283500923613,0.118833151571172,3.23861127974986e-05,0.000167965527089222,0.000453094813473792,3.84073222430181,-1.12901755585677,-1.66896689329115,-8.29935537658548e-06,-3.7980134087249e-05,-7.53440464014172e-05,-0.00180019878395305,-0.00751566836523838,-0.00869218058193257,-2.20560137075922e-07,3.77238558793307e-07,1.45950354411393e-05
0.46,25.7142908881507,0.0615725638681836,0.115475809755757,3.58363959808684e-05,0.000177053745849068,0.000450495513472175,3.81782367721793,-1.16148702749507,-1.55071984749804,-9.07395528876484e-06,-3.94782919065877e-05,-7.34570598433053e-05,-0.00195220430379729,-0.00768246134706394,-0.00771302525282501,-2.08526941226228e-07,6.86608569585276e-07,1.63914983047743e-05
0.48,25.715545169444,0.0638445328069475,0.11151829503078,3.9469218293405e-05,0.000186271649588358,0.000463437736226144,3.79428758841868,-1.19185470304458,-1.45708816671266,-9.87824232079253e-06,-4.09528472125178e-05,-7.28527284657647e-05,-0.00210734600311896,-0.00782919145552047,-0.00670112903237742,-1.89763521668731e-07,1.03249891070284e-06,1.8230037099328e-05
0.5,25.7168441116419,0.0660383385188367,0.107445790661814,4.32896318129444e-05,0.000195847557183342,0.000486636927252946,3.77016237882501,-1.22044087793234,-1.37572341689359,-1.0711944535381e-05,-4.24220010653474e-05,-7.3036526929735e-05,-0.00226521539392461,-0.00795508075208262,-0.00564078816220499,-1.63518265528512e-07,1.41601027245419e-06,2.01329312314116e-05
0.52,25.7181861532373,0.0681553071179872,0.103598297309548,4.73061629981718e-05,0.000205894417195842,0.000512972856072778,3.7454823502685,-1.24733519938681,-1.29370800037158,-1.15750568074675e-05,-4.38938645674657e-05,-7.33984054399466e-05,-0.00242538669921381,-0.00805923223474685,-0.0045318352545165,-1.29013872745507e-07,1.83853635700036e-06,2.21123133232834e-05
0.54,25.7195698040004,0.0702004944102914,0.100098117559183,5.15283491386862e-05,0.000216402711285256,0.00053602086611822,3.72028215353527,-1.27242348830679,-1.20122096751381,-1.24676315298037e-05,-4.53663748167923e-05,-7.34291376118663e-05,-0.00258741683754458,-0.00814084722381233,-0.00338516968268867,-8.54436864240205e-08,2.30158799346524e-06,2.41701275943577e-05
0.56,25.7209936834794,0.0721791859353316,0.0968754952061914,5.59645321413783e-05,0.000227270373972209,0.000551744897999689,3.69460017796343,-1.29546259101578,-1.09339989693783,-1.3389601662247e-05,-4.68303445807947e-05,-7.28306981350858e-05,-0.00275084909287766,-0.00819937825890661,-0.00221683418922767,-3.19714976770642e-08,2.80663705980469e-06,2.63005842032212e-05
0.58,25.7224564973312,0.0740943575447804,0.093754324108048,6.06204775385302e-05,0.000238351548341782,0.000559034393790556,3.6684802245344,-1.31617115365582,-0.97039065059396,-1.43406787959015e-05,-4.82736206348545e-05,-7.15433239866886e-05,-0.00291521873103791,-0.00823457062647154,-0.00104256667644958,3.22659949911764e-08,3.35500072945846e-06,2.84933337869299e-05
0.6,25.7239569786312,0.0759457406742431,0.0905511034514468,6.54989983260372e-05,0.000249505000177961,0.000559222963492684,3.64197144277368,-1.33430802479165,-0.836037030484568,-1.53203339263375e-05,-4.96849393573524e-05,-6.97077982212042e-05,-0.00308005855745866,-0.00824642025955415,0.000125356963335248,1.08155188972321e-07,3.94778786839758e-06,3.07363192938294e-05
0.62,25.725493826694,0.0777304296346993,0.0871411395655162,7.06004183888864e-05,0.000260627680555108,0.000555039595818385,3.61512698384553,-1.34972002100167,-0.695937249327692,-1.63278455972503e-05,-5.10566616081302e-05,-6.75646388636721e-05,-0.00324490328093669,-0.00823510594499043,0.00127955808913782,1.9660116525055e-07,4.58588792450564e-06,3.30181122346233e-05
0.64,25.7270656662481,0.0794441498890808,0.0834847702745227,7.59235088107159e-05,0.000271668042093374,0.000549417462536389,3.58800204716102,-1.36235503443369,-0.555547267948254,-1.73623840651711e-05,-5.23856285938874e-05,-6.53666613037336e-05,-0.00340929227995282,-0.00820090056974744,0.00241717684201204,2.98523578951687e-07,5.26999285904805e-06,3.53292825245511e-05
0.66,25.728671034494,0.0810826641467525,0.0796136617452596,8.14664927534002e-05,0.000282620464160503,0.000544576595064391,3.56065197540408,-1.37224586075865,-0.418825078353093,-1.84230981000388e-05,-5.36726377428938e-05,-6.33022249965475e-05,-0.00357277077090564,-0.00814410481329498,0.00353842924708183,4.14853316464946e-07,6.00064159997696e-06,3.76630559659735e-05
0.68,25.7303083921431,0.0826426873088747,0.0755980283509472,8.72278027847596e-05,0.000293507583746062,0.000541560960829914,3.53313086947644,-1.37947690688512,-0.287636164172297,-1.9509179962816e-05,-5.49209137955899e-05,-6.14592660872742e-05,-0.003734889924062,-0.00806500921315287,0.00464486803642816,5.46530085180063e-07,6.77826595703381e-06,4.00152240906686e-05
0.7,25.7319761469884,0.0841222229750765,0.0715106891776892,9.32064330231998e-05,0.000304359001364609,0.000540237122022987,3.50549092945962,-1.38414727980274,-0.161872588706896,-2.06198957196407e-05,-5.61342945627283e-05,-5.98294179026265e-05,-0.0038952065107329,-0.00796388419314346,0.005737775679051,6.94500814189049e-07,7.60323206853371e-06,4.23834823426279e-05
0.72,25.7336726784257,0.0855203545796165,0.0674021587942212,9.9401887483977e-05,0.000315193319487136,0.000539635953527537,3.47778247971714,-1.38634091212129,-0.0400666805240293,-2.17545818348811e-05,-5.73157615641225e-05,-5.8332944501293e-05,-0.00405328262189082,-0.00784099577480273,0.00681714994726119,8.59718630367489e-07,8.47586594489263e-06,4.47664967820064e-05
0.74,25.7353963544412,0.0868367533848298,0.0632921871113764,0.000105813840962269,0.000326007822235722,0.000538432688885051,3.45005446597491,-1.38610991210983,0.0797966347246672,-2.29126177043738e-05,-5.84665448869953e-05,-5.68611924337746e-05,-0.00420868583006371,-0.00769663163826256,0.00788133148731651,1.04314206672204e-06,9.39646092666517e-06,4.71628999178712e-05
0.76,25.7371455382691,0.0880711855020851,0.0591733933610025,0.000112441678356453,0.000336776555220655,0.000535397610456864,3.4223551421373,-1.38347200249985,0.19953800972215,-2.4093387796123e-05,-5.95859684529109e-05,-5.53124955985015e-05,-0.00436098990892093,-0.00753112909068981,0.00892722507412795,1.24573419687481e-06,1.03652699447e-05,4.95705169502316e-05
