time,relative_surge,relative_sway,relative_heave,relative_roll,relative_pitch,relative_yaw
0,25.7,0,0,-4.06575814682064e-20,-1.35525271560688e-20,-4.96308367531817e-24
0.02,25.6999999935193,-4.18598489204669e-11,2.11313020415105e-08,-5.3502114793543e-13,5.89151247215246e-09,1.17519514561893e-11
0.04,25.7000233270694,-5.51015588712289e-09,6.57298890649471e-05,3.51997076804005e-09,-2.12065031612019e-05,-2.60570353242595e-09
0.06,25.700095825651,-3.54879663433394e-08,0.000322188009142188,1.5916277174072e-08,-8.71160642493241e-05,-1.18927346408109e-08
0.08,25.7002218910687,-1.10800852937132e-07,0.000837521381902739,4.07958472557882e-08,-0.000201731560724659,-2.67932350179976e-08
0.1,25.70040267431,-2.49770700122554e-07,0.00164472105053726,7.95601183029984e-08,-0.000366115406122503,-4.76670098886088e-08
0.12,25.7006375164453,-4.5989043684358e-07,0.00274194628040725,1.32290255523164e-07,-0.000579693406581819,-7.42821914830163e-08
0.14,25.7009244619854,-7.3616913276453e-07,0.00410431117814003,1.97645627445285e-07,-0.000840718012370352,-1.06190492704178e-07
0.16,25.7012612114202,-1.06358076656932e-06,0.0056989416140425,2.73566551003257e-07,-0.00114713048413985,-1.4272536326643e-07
0.18,25.7016457501516,-1.42255726132134e-06,0.0074971098266392,3.57852599775243e-07,-0.0014971311016733,-1.83178805271596e-07
0.2,25.7020765943042,-1.79450234583101e-06,0.00948036080933079,4.48602760374596e-07,-0.00188940362220123,-2.26900273233667e-07
0.22,25.7025527178085,-2.16529410046462e-06,0.0116408427693386,5.44373298454155e-07,-0.00232305110152621,-2.73332115471752e-07
0.24,25.7030733104557,-2.52600640315848e-06,0.0139778908893105,6.44101699339869e-07,-0.00279737746380155,-3.21972559034621e-07
0.26,25.7036375124049,-2.87139131138758e-06,0.0164933465992823,7.46893065331849e-07,-0.00331164612417835,-3.7230047672953e-07
0.28,25.7042442410639,-3.19732643028203e-06,0.0191876428023945,8.51788254064942e-07,-0.00386492110998214,-4.23709536805741e-07
0.3,25.7048921303415,-3.49844071934058e-06,0.0220576291596379,9.57595532893282e-07,-0.00445600954464425,-4.75474463567125e-07
0.32,25.7055795616754,-3.76667458823476e-06,0.0250961828944933,1.06281933367737e-06,-0.00508348761131224,-5.26755739418042e-07
0.34,25.7063047440778,-3.99094677128176e-06,0.0282930800167489,1.16567615836143e-06,-0.00574577175102736,-5.7663231134687e-07
0.36,25.7070657935506,-4.15766365691184e-06,0.0316363801182167,1.2641615248136e-06,-0.00644119015889707,-6.2414044367039e-07
0.38,25.7078607881959,-4.25161470829494e-06,0.0351137150270757,1.35612922702518e-06,-0.0071680328752826,-6.68303624985858e-07
0.4,25.7086877918293,-4.25683683502598e-06,0.0387131369589779,1.43935452762763e-06,-0.0079245735480128,-7.08145566147516e-07
0.42,25.709544851829,-4.15719843083195e-06,0.042423443232789,1.51156839466368e-06,-0.00870906767808461,-7.42686863765216e-07
0.44,25.7104299865155,-3.93663863285099e-06,0.0462340910663865,1.57046455205307e-06,-0.00951974101411196,-7.70933391294894e-07
0.46,25.7113411735456,-3.57912966997276e-06,0.0501348832665736,1.61368970464305e-06,-0.0103547784747894,-7.91864566481311e-07
0.48,25.7122763445713,-3.06848486886224e-06,0.054115599700248,1.63882785331601e-06,-0.0112123184680939,-8.04426915998172e-07
0.5,25.7132333846761,-2.38813311526087e-06,0.0581657140079259,1.64338428665535e-06,-0.0120904514621019,-8.07534164957357e-07
0.52,25.7142101356134,-1.52094291827609e-06,0.0622742591778387,1.62477438822569e-06,-0.012987222127086,-8.00072649755372e-07
0.54,25.7152044047073,-4.49129666790782e-07,0.0664298274328883,1.58032211586055e-06,-0.0139006368501353,-7.80910509178486e-07
0.56,25.7162139749109,8.45754607681215e-07,0.0706206648166852,1.50726457721546e-06,-0.0148286725682147,-7.48907338112405e-07
0.58,25.7172366126987,2.38276636999046e-06,0.0748348158230243,1.40275952799157e-06,-0.0157692838846578,-7.02921509479403e-07
0.6,25.7182700750948,4.1814791487127e-06,0.0790602665008211,1.26389549574844e-06,-0.016720409567914,-6.41814887928991e-07
0.62,25.7193121153342,6.26188025698582e-06,0.0832850568468007,1.08770098307574e-06,-0.0176799778943777,-5.64455211599788e-07
0.64,25.7203604877155,8.64427384961175e-06,0.0874973520990441,8.711522743072e-07,-0.0186459112794315,-4.69716925831949e-07
0.66,25.7214129522343,1.13492021416306e-05,0.0916854728974195,6.11179875111094e-07,-0.0196161306899342,-3.56481618407756e-07
0.68,25.722467279139,1.43973883126591e-05,0.0958378983363417,3.04672932188792e-07,-0.0205885599686227,-2.236388671726e-07
0.7,25.72352125343,1.78096994396526e-05,0.0999432569106968,-5.15172131386474e-08,-0.0215611301136793,-7.00878627294657e-08
0.72,25.7245726791481,2.16071234593329e-05,0.103990319250056,-4.60574084405741e-07,-0.0225317834099484,1.05260202617557e-07
0.74,25.7256193836389,2.58107522519424e-05,0.107968002203788,-9.25713154539592e-07,-0.0234984776173843,3.0347911617381e-07
0.76,25.7266592214848,3.04417631991072e-05,0.111865387229444,-1.45017839412444e-06,-0.0244591899595103,5.25624450596678e-07
0.78,25.7276900783585,3.55213939400301e-05,0.115671751385391,-2.03723824019682e-06,-0.0254119211455831,7.72730461409273e-07
0.8,25.7287098747654,4.10709073896953e-05,0.119376605751071,-2.69018085645612e-06,-0.0263546993839719,1.04580730922229e-06
0.82,25.7297165695939,4.71115479658835e-05,0.122969735351174,-3.41230892004096e-06,-0.0272855842900307,1.34583876441031e-06
0.84,25.7307081636009,5.36644912862982e-05,0.126441235605899,-4.20693413704474e-06,-0.0282026707765408,1.6737803599626e-06
0.86,25.7316827026826,6.07507908849669e-05,0.129781542633165,-5.07737168899939e-06,-0.0291040927693007,2.03055790963869e-06
0.88,25.7326382809848,6.83913256604995e-05,0.132981457011364,-6.02693481542681e-06,-0.0299880267826626,2.41706627018582e-06
0.9,25.7335730438111,7.66067497259826e-05,0.136032162585686,-7.05892955008089e-06,-0.0308526953132268,2.83416822622448e-06
0.92,25.7344851903858,8.54174459732349e-05,0.13892524273284,-8.17664956451124e-06,-0.0316963701057867,3.28269337150592e-06
0.94,25.7353729765311,9.48434828824674e-05,0.141652696433054,-9.38337106131215e-06,-0.03251737534759,3.76343697733652e-06
