      Time             Node0px             Node0py             Node0pz             Node1px             Node1py             Node1pz             Node2px             Node2py             Node2pz             Node3px             Node3py             Node3pz             Node4px             Node4py             Node4pz             Node5px             Node5py             Node5pz             Node6px             Node6py             Node6pz             Node7px             Node7py             Node7pz             Node8px             Node8py             Node8pz             Node9px             Node9py             Node9pz            Node10px            Node10py            Node10pz            Node11px            Node11py            Node11pz            Node12px            Node12py            Node12pz            Node13px            Node13py            Node13pz            Node14px            Node14py            Node14pz            Node15px            Node15py            Node15pz            Node16px            Node16py            Node16pz            Node17px            Node17py            Node17pz            Node18px            Node18py            Node18pz            Node19px            Node19py            Node19pz            Node20px            Node20py            Node20pz              Seg1Te              Seg2Te              Seg3Te              Seg4Te              Seg5Te              Seg6Te              Seg7Te              Seg8Te              Seg9Te             Seg10Te             Seg11Te             Seg12Te             Seg13Te             Seg14Te             Seg15Te             Seg16Te             Seg17Te             Seg18Te             Seg19Te             Seg20Te
    0.0000      -5.6438000e+01       8.0000000e+00      -2.8100000e+01      -5.4066658e+01       8.0000000e+00      -2.6913867e+01      -5.1695257e+01       8.0000000e+00      -2.5727853e+01      -4.9323798e+01       8.0000000e+00      -2.4541958e+01      -4.6952280e+01       8.0000000e+00      -2.3356182e+01      -4.4580703e+01       8.0000000e+00      -2.2170526e+01      -4.2209067e+01       8.0000000e+00      -2.0984989e+01      -3.9837372e+01       8.0000000e+00      -1.9799571e+01      -3.7465619e+01       8.0000000e+00      -1.8614273e+01      -3.5093807e+01       8.0000000e+00      -1.7429094e+01      -3.2721937e+01       8.0000000e+00      -1.6244034e+01      -3.0350007e+01       8.0000000e+00      -1.5059094e+01      -2.7978019e+01       8.0000000e+00      -1.3874272e+01      -2.5605972e+01       8.0000000e+00      -1.2689571e+01      -2.3233867e+01       8.0000000e+00      -1.1504988e+01      -2.0861702e+01       8.0000000e+00      -1.0320525e+01      -1.8489479e+01       8.0000000e+00      -9.1361812e+00      -1.6117197e+01       8.0000000e+00      -7.9519568e+00      -1.3744857e+01       8.0000000e+00      -6.7678518e+00      -1.1372458e+01       8.0000000e+00      -5.5838662e+00      -9.0000000e+00       8.0000000e+00      -4.4000000e+00       1.3203232e+05       1.3202901e+05       1.3202570e+05       1.3202239e+05       1.3201908e+05       1.3201577e+05       1.3201246e+05       1.3200916e+05       1.3200585e+05       1.3200254e+05       1.3199923e+05       1.3199592e+05       1.3199262e+05       1.3198931e+05       1.3198600e+05       1.3198270e+05       1.3197939e+05       1.3197609e+05       1.3197278e+05       1.3196948e+05
    0.0200      -5.6438000e+01       8.0000000e+00      -2.8100000e+01      -5.4066660e+01       8.0000000e+00      -2.6913868e+01      -5.1695262e+01       8.0000000e+00      -2.5727855e+01      -4.9323804e+01       8.0000000e+00      -2.4541961e+01      -4.6952288e+01       8.0000000e+00      -2.3356187e+01      -4.4580713e+01       8.0000000e+00      -2.2170531e+01      -4.2209079e+01       8.0000000e+00      -2.0984995e+01      -3.9837386e+01       8.0000000e+00      -1.9799578e+01      -3.7465634e+01       8.0000000e+00      -1.8614281e+01      -3.5093824e+01       8.0000000e+00      -1.7429102e+01      -3.2721955e+01       8.0000000e+00      -1.6244043e+01      -3.0350026e+01       8.0000000e+00      -1.5059103e+01      -2.7978039e+01       8.0000000e+00      -1.3874282e+01      -2.5605993e+01       8.0000000e+00      -1.2689581e+01      -2.3233888e+01       8.0000000e+00      -1.1504999e+01      -2.0861725e+01       8.0000000e+00      -1.0320536e+01      -1.8489503e+01       8.0000000e+00      -9.1361931e+00      -1.6117221e+01       8.0000000e+00      -7.9519708e+00      -1.3744876e+01       8.0000000e+00      -6.7678765e+00      -1.1372465e+01       7.9999999e+00      -5.5839154e+00      -8.9999998e+00       7.9999999e+00      -4.4000666e+00       1.3202229e+05       1.3201907e+05       1.3201595e+05       1.3201294e+05       1.3201005e+05       1.3200727e+05       1.3200457e+05       1.3200193e+05       1.3199930e+05       1.3199664e+05       1.3199392e+05       1.3199112e+05       1.3198822e+05       1.3198523e+05       1.3198216e+05       1.3197903e+05       1.3197584e+05       1.3197260e+05       1.3196934e+05       1.3196606e+05
    0.0400      -5.6438000e+01       8.0000000e+00      -2.8100000e+01      -5.4066711e+01       8.0000000e+00      -2.6913893e+01      -5.1695363e+01       8.0000000e+00      -2.5727905e+01      -4.9323955e+01       8.0000000e+00      -2.4542037e+01      -4.6952487e+01       8.0000000e+00      -2.3356286e+01      -4.4580959e+01       8.0000000e+00      -2.2170654e+01      -4.2209369e+01       8.0000000e+00      -2.0985140e+01      -3.9837717e+01       8.0000000e+00      -1.9799743e+01      -3.7466003e+01       8.0000000e+00      -1.8614464e+01      -3.5094226e+01       8.0000000e+00      -1.7429303e+01      -3.2722388e+01       8.0000000e+00      -1.6244259e+01      -3.0350488e+01       8.0000000e+00      -1.5059334e+01      -2.7978527e+01       8.0000000e+00      -1.3874526e+01      -2.5606505e+01       8.0000000e+00      -1.2689837e+01      -2.3234423e+01       8.0000000e+00      -1.1505266e+01      -2.0862279e+01       8.0000000e+00      -1.0320817e+01      -1.8490071e+01       8.0000000e+00      -9.1364956e+00      -1.6117795e+01       7.9999999e+00      -7.9523126e+00      -1.3745438e+01       7.9999998e+00      -6.7682898e+00      -1.1372988e+01       7.9999996e+00      -5.5844573e+00      -9.0004873e+00       7.9999994e+00      -4.4007263e+00       1.3178287e+05       1.3178168e+05       1.3178281e+05       1.3178651e+05       1.3179292e+05       1.3180190e+05       1.3181298e+05       1.3182534e+05       1.3183803e+05       1.3185006e+05       1.3186065e+05       1.3186928e+05       1.3187574e+05       1.3188005e+05       1.3188244e+05       1.3188321e+05       1.3188271e+05       1.3188123e+05       1.3187900e+05       1.3187619e+05
    0.0600      -5.6438000e+01       8.0000000e+00      -2.8100000e+01      -5.4066779e+01       8.0000000e+00      -2.6913926e+01      -5.1695498e+01       8.0000000e+00      -2.5727972e+01      -4.9324158e+01       8.0000000e+00      -2.4542137e+01      -4.6952758e+01       8.0000000e+00      -2.3356420e+01      -4.4581298e+01       8.0000000e+00      -2.2170822e+01      -4.2209776e+01       8.0000000e+00      -2.0985342e+01      -3.9838193e+01       8.0000000e+00      -1.9799980e+01      -3.7466549e+01       8.0000000e+00      -1.8614736e+01      -3.5094842e+01       8.0000000e+00      -1.7429609e+01      -3.2723072e+01       8.0000000e+00      -1.6244600e+01      -3.0351241e+01       8.0000000e+00      -1.5059709e+01      -2.7979348e+01       8.0000000e+00      -1.3874936e+01      -2.5607392e+01       8.0000000e+00      -1.2690285e+01      -2.3235371e+01       8.0000000e+00      -1.1505762e+01      -2.0863277e+01       7.9999999e+00      -1.0321380e+01      -1.8491101e+01       7.9999998e+00      -9.1371611e+00      -1.6118825e+01       7.9999996e+00      -7.9531432e+00      -1.3746417e+01       7.9999993e+00      -6.7693877e+00      -1.1373857e+01       7.9999990e+00      -5.5859380e+00      -9.0012812e+00       7.9999987e+00      -4.4025214e+00       1.3146795e+05       1.3146589e+05       1.3146547e+05       1.3146724e+05       1.3147171e+05       1.3147905e+05       1.3148898e+05       1.3150078e+05       1.3151348e+05       1.3152606e+05       1.3153768e+05       1.3154778e+05       1.3155609e+05       1.3156261e+05       1.3156744e+05       1.3157075e+05       1.3157267e+05       1.3157327e+05       1.3157257e+05       1.3157056e+05
    0.0800      -5.6438000e+01       8.0000000e+00      -2.8100000e+01      -5.4066887e+01       8.0000000e+00      -2.6913979e+01      -5.1695715e+01       8.0000000e+00      -2.5728078e+01      -4.9324484e+01       8.0000000e+00      -2.4542296e+01      -4.6953193e+01       8.0000000e+00      -2.3356634e+01      -4.4581842e+01       8.0000000e+00      -2.2171090e+01      -4.2210430e+01       8.0000000e+00      -2.0985665e+01      -3.9838956e+01       8.0000000e+00      -1.9800357e+01      -3.7467421e+01       8.0000000e+00      -1.8615167e+01      -3.5095823e+01       8.0000000e+00      -1.7430096e+01      -3.2724162e+01       8.0000000e+00      -1.6245142e+01      -3.0352438e+01       8.0000000e+00      -1.5060311e+01      -2.7980646e+01       7.9999999e+00      -1.3875609e+01      -2.5608780e+01       7.9999999e+00      -1.2691051e+01      -2.3236828e+01       7.9999997e+00      -1.1506660e+01      -2.0864772e+01       7.9999995e+00      -1.0322476e+01      -1.8492583e+01       7.9999993e+00      -9.1385550e+00      -1.6120240e+01       7.9999990e+00      -7.9549410e+00      -1.3747741e+01       7.9999986e+00      -6.7716391e+00      -1.1375066e+01       7.9999981e+00      -5.5886925e+00      -9.0023820e+00       7.9999977e+00      -4.4057627e+00       1.3096034e+05       1.3095770e+05       1.3095625e+05       1.3095680e+05       1.3096010e+05       1.3096652e+05       1.3097589e+05       1.3098750e+05       1.3100029e+05       1.3101315e+05       1.3102517e+05       1.3103574e+05       1.3104460e+05       1.3105172e+05       1.3105723e+05       1.3106127e+05       1.3106391e+05       1.3106514e+05       1.3106490e+05       1.3106312e+05
    0.1000      -5.6438000e+01       8.0000000e+00      -2.8100000e+01      -5.4067047e+01       8.0000000e+00      -2.6914056e+01      -5.1696034e+01       8.0000000e+00      -2.5728232e+01      -4.9324961e+01       8.0000000e+00      -2.4542527e+01      -4.6953828e+01       8.0000000e+00      -2.3356943e+01      -4.4582634e+01       8.0000000e+00      -2.2171477e+01      -4.2211378e+01       8.0000000e+00      -2.0986129e+01      -3.9840060e+01       8.0000000e+00      -1.9800900e+01      -3.7468678e+01       8.0000000e+00      -1.8615789e+01      -3.5097230e+01       8.0000000e+00      -1.7430801e+01      -3.2725713e+01       7.9999999e+00      -1.6245943e+01      -3.0354118e+01       7.9999998e+00      -1.5061230e+01      -2.7982433e+01       7.9999997e+00      -1.3876689e+01      -2.5610640e+01       7.9999995e+00      -1.2692360e+01      -2.3238710e+01       7.9999992e+00      -1.1508295e+01      -2.0866625e+01       7.9999989e+00      -1.0324537e+01      -1.8494380e+01       7.9999985e+00      -9.1410963e+00      -1.6121966e+01       7.9999981e+00      -7.9579899e+00      -1.3749370e+01       7.9999975e+00      -6.7752484e+00      -1.1376583e+01       7.9999969e+00      -5.5928865e+00      -9.0037875e+00       7.9999964e+00      -4.4105443e+00       1.3021836e+05       1.3021620e+05       1.3021576e+05       1.3021793e+05       1.3022355e+05       1.3023303e+05       1.3024613e+05       1.3026205e+05       1.3027959e+05       1.3029748e+05       1.3031463e+05       1.3033029e+05       1.3034408e+05       1.3035589e+05       1.3036572e+05       1.3037360e+05       1.3037950e+05       1.3038328e+05       1.3038478e+05       1.3038384e+05
    0.1200      -5.6438000e+01       8.0000000e+00      -2.8100000e+01      -5.4067236e+01       8.0000000e+00      -2.6914146e+01      -5.1696413e+01       8.0000000e+00      -2.5728412e+01      -4.9325529e+01       8.0000000e+00      -2.4542800e+01      -4.6954586e+01       8.0000000e+00      -2.3357307e+01      -4.4583581e+01       8.0000000e+00      -2.2171935e+01      -4.2212515e+01       8.0000000e+00      -2.0986684e+01      -3.9841383e+01       8.0000000e+00      -1.9801558e+01      -3.7470182e+01       7.9999999e+00      -1.8616564e+01      -3.5098902e+01       7.9999998e+00      -1.7431720e+01      -3.2727531e+01       7.9999997e+00      -1.6247052e+01      -3.0356048e+01       7.9999995e+00      -1.5062600e+01      -2.7984428e+01       7.9999992e+00      -1.3878416e+01      -2.5612651e+01       7.9999989e+00      -1.2694539e+01      -2.3240714e+01       7.9999985e+00      -1.1510980e+01      -2.0868610e+01       7.9999980e+00      -1.0327750e+01      -1.8496327e+01       7.9999975e+00      -9.1448769e+00      -1.6123861e+01       7.9999969e+00      -7.9623675e+00      -1.3751213e+01       7.9999963e+00      -6.7802229e+00      -1.1378368e+01       7.9999955e+00      -5.5984733e+00      -9.0055002e+00       7.9999948e+00      -4.4167694e+00       1.2933718e+05       1.2933429e+05       1.2933243e+05       1.2933255e+05       1.2933557e+05       1.2934202e+05       1.2935178e+05       1.2936415e+05       1.2937807e+05       1.2939235e+05       1.2940603e+05       1.2941845e+05       1.2942930e+05       1.2943852e+05       1.2944615e+05       1.2945223e+05       1.2945670e+05       1.2945942e+05       1.2946019e+05       1.2945883e+05
    0.1400      -5.6438000e+01       8.0000000e+00      -2.8100000e+01      -5.4067468e+01       8.0000000e+00      -2.6914254e+01      -5.1696875e+01       8.0000000e+00      -2.5728630e+01      -4.9326222e+01       8.0000000e+00      -2.4543129e+01      -4.6955507e+01       8.0000000e+00      -2.3357751e+01      -4.4584727e+01       8.0000000e+00      -2.2172501e+01      -4.2213878e+01       7.9999999e+00      -2.0987387e+01      -3.9842950e+01       7.9999998e+00      -1.9802427e+01      -3.7471928e+01       7.9999997e+00      -1.8617648e+01      -3.5100792e+01       7.9999994e+00      -1.7433091e+01      -3.2729518e+01       7.9999992e+00      -1.6248804e+01      -3.0358087e+01       7.9999988e+00      -1.5064824e+01      -2.7986494e+01       7.9999984e+00      -1.3881162e+01      -2.5614737e+01       7.9999980e+00      -1.2697824e+01      -2.3242804e+01       7.9999974e+00      -1.1514833e+01      -2.0870691e+01       7.9999969e+00      -1.0332200e+01      -1.8498400e+01       7.9999962e+00      -9.1499195e+00      -1.6125925e+01       7.9999955e+00      -7.9680072e+00      -1.3753267e+01       7.9999948e+00      -6.7864609e+00      -1.1380417e+01       7.9999939e+00      -5.6052991e+00      -9.0075198e+00       7.9999931e+00      -4.4242321e+00       1.2826496e+05       1.2826192e+05       1.2825973e+05       1.2825931e+05       1.2826158e+05       1.2826704e+05       1.2827564e+05       1.2828677e+05       1.2829944e+05       1.2831259e+05       1.2832533e+05       1.2833704e+05       1.2834743e+05       1.2835641e+05       1.2836397e+05       1.2837008e+05       1.2837464e+05       1.2837744e+05       1.2837824e+05       1.2837682e+05
    0.1600      -5.6438000e+01       8.0000000e+00      -2.8100000e+01      -5.4067732e+01       8.0000000e+00      -2.6914378e+01      -5.1697402e+01       8.0000000e+00      -2.5728882e+01      -4.9327007e+01       8.0000000e+00      -2.4543517e+01      -4.6956541e+01       7.9999999e+00      -2.3358293e+01      -4.4585996e+01       7.9999998e+00      -2.2173227e+01      -4.2215356e+01       7.9999996e+00      -2.0988348e+01      -3.9844600e+01       7.9999994e+00      -1.9803697e+01      -3.7473705e+01       7.9999991e+00      -1.8619319e+01      -3.5102654e+01       7.9999988e+00      -1.7435248e+01      -3.2731440e+01       7.9999984e+00      -1.6251497e+01      -3.0360063e+01       7.9999979e+00      -1.5068065e+01      -2.7988515e+01       7.9999974e+00      -1.3884970e+01      -2.5616790e+01       7.9999968e+00      -1.2702225e+01      -2.3244891e+01       7.9999962e+00      -1.1519824e+01      -2.0872815e+01       7.9999955e+00      -1.0337773e+01      -1.8500560e+01       7.9999948e+00      -9.1560801e+00      -1.6128128e+01       7.9999940e+00      -7.9747399e+00      -1.3755515e+01       7.9999931e+00      -6.7937626e+00      -1.1382715e+01       7.9999921e+00      -5.6131599e+00      -9.0098426e+00       7.9999912e+00      -4.4327028e+00       1.2703937e+05       1.2703636e+05       1.2703418e+05       1.2703367e+05       1.2703564e+05       1.2704056e+05       1.2704838e+05       1.2705856e+05       1.2707021e+05       1.2708238e+05       1.2709426e+05       1.2710528e+05       1.2711514e+05       1.2712375e+05       1.2713105e+05       1.2713699e+05       1.2714140e+05       1.2714407e+05       1.2714473e+05       1.2714317e+05
    0.1800      -5.6438000e+01       8.0000000e+00      -2.8100000e+01      -5.4068014e+01       8.0000000e+00      -2.6914529e+01      -5.1697959e+01       7.9999999e+00      -2.5729199e+01      -4.9327823e+01       7.9999998e+00      -2.4544032e+01      -4.6957591e+01       7.9999996e+00      -2.3359058e+01      -4.4587242e+01       7.9999994e+00      -2.2174318e+01      -4.2216754e+01       7.9999991e+00      -2.0989854e+01      -3.9846110e+01       7.9999988e+00      -1.9805699e+01      -3.7475304e+01       7.9999984e+00      -1.8621863e+01      -3.5104338e+01       7.9999979e+00      -1.7438345e+01      -3.2733206e+01       7.9999974e+00      -1.6255157e+01      -3.0361899e+01       7.9999968e+00      -1.5072311e+01      -2.7990423e+01       7.9999962e+00      -1.3889802e+01      -2.5618779e+01       7.9999955e+00      -1.2707627e+01      -2.3246960e+01       7.9999948e+00      -1.1525798e+01      -2.0874971e+01       7.9999940e+00      -1.0344309e+01      -1.8502809e+01       7.9999932e+00      -9.1631646e+00      -1.6130471e+01       7.9999922e+00      -7.9823720e+00      -1.3757957e+01       7.9999912e+00      -6.8019332e+00      -1.1385257e+01       7.9999902e+00      -5.6218693e+00      -9.0124617e+00       7.9999891e+00      -4.4419966e+00       1.2569554e+05       1.2569227e+05       1.2568951e+05       1.2568802e+05       1.2568851e+05       1.2569144e+05       1.2569678e+05       1.2570407e+05       1.2571257e+05       1.2572148e+05       1.2573009e+05       1.2573796e+05       1.2574487e+05       1.2575074e+05       1.2575558e+05       1.2575934e+05       1.2576191e+05       1.2576310e+05       1.2576271e+05       1.2576052e+05
