      Time             Node0px             Node0py             Node0pz             Node1px             Node1py             Node1pz             Node2px             Node2py             Node2pz             Node3px             Node3py             Node3pz             Node4px             Node4py             Node4pz             Node5px             Node5py             Node5pz             Node6px             Node6py             Node6pz             Node7px             Node7py             Node7pz             Node8px             Node8py             Node8pz             Node9px             Node9py             Node9pz            Node10px            Node10py            Node10pz            Node11px            Node11py            Node11pz            Node12px            Node12py            Node12pz            Node13px            Node13py            Node13pz            Node14px            Node14py            Node14pz            Node15px            Node15py            Node15pz            Node16px            Node16py            Node16pz            Node17px            Node17py            Node17pz            Node18px            Node18py            Node18pz            Node19px            Node19py            Node19pz            Node20px            Node20py            Node20pz              Seg1Te              Seg2Te              Seg3Te              Seg4Te              Seg5Te              Seg6Te              Seg7Te              Seg8Te              Seg9Te             Seg10Te             Seg11Te             Seg12Te             Seg13Te             Seg14Te             Seg15Te             Seg16Te             Seg17Te             Seg18Te             Seg19Te             Seg20Te
    0.0000       8.0000000e+00      -5.6438000e+01      -3.0000000e+01       8.0000000e+00      -5.4066658e+01      -2.8813867e+01       8.0000000e+00      -5.1695257e+01      -2.7627853e+01       8.0000000e+00      -4.9323798e+01      -2.6441958e+01       8.0000000e+00      -4.6952280e+01      -2.5256182e+01       8.0000000e+00      -4.4580703e+01      -2.4070526e+01       8.0000000e+00      -4.2209067e+01      -2.2884989e+01       8.0000000e+00      -3.9837372e+01      -2.1699571e+01       8.0000000e+00      -3.7465619e+01      -2.0514273e+01       8.0000000e+00      -3.5093807e+01      -1.9329094e+01       8.0000000e+00      -3.2721937e+01      -1.8144034e+01       8.0000000e+00      -3.0350007e+01      -1.6959094e+01       8.0000000e+00      -2.7978019e+01      -1.5774272e+01       8.0000000e+00      -2.5605972e+01      -1.4589571e+01       8.0000000e+00      -2.3233867e+01      -1.3404988e+01       8.0000000e+00      -2.0861702e+01      -1.2220525e+01       8.0000000e+00      -1.8489479e+01      -1.1036181e+01       8.0000000e+00      -1.6117197e+01      -9.8519568e+00       8.0000000e+00      -1.3744857e+01      -8.6678518e+00       8.0000000e+00      -1.1372458e+01      -7.4838662e+00       8.0000000e+00      -9.0000000e+00      -6.3000000e+00       1.3203232e+05       1.3202901e+05       1.3202570e+05       1.3202239e+05       1.3201908e+05       1.3201577e+05       1.3201246e+05       1.3200916e+05       1.3200585e+05       1.3200254e+05       1.3199923e+05       1.3199592e+05       1.3199262e+05       1.3198931e+05       1.3198600e+05       1.3198270e+05       1.3197939e+05       1.3197609e+05       1.3197278e+05       1.3196948e+05
    0.0200       8.0000000e+00      -5.6438000e+01      -3.0000000e+01       8.0000000e+00      -5.4066660e+01      -2.8813868e+01       8.0000000e+00      -5.1695262e+01      -2.7627855e+01       8.0000000e+00      -4.9323804e+01      -2.6441961e+01       8.0000000e+00      -4.6952288e+01      -2.5256187e+01       8.0000000e+00      -4.4580713e+01      -2.4070531e+01       8.0000000e+00      -4.2209079e+01      -2.2884995e+01       8.0000000e+00      -3.9837386e+01      -2.1699578e+01       8.0000000e+00      -3.7465635e+01      -2.0514281e+01       8.0000000e+00      -3.5093824e+01      -1.9329102e+01       8.0000000e+00      -3.2721955e+01      -1.8144043e+01       8.0000000e+00      -3.0350026e+01      -1.6959103e+01       8.0000000e+00      -2.7978039e+01      -1.5774282e+01       8.0000000e+00      -2.5605993e+01      -1.4589581e+01       8.0000000e+00      -2.3233888e+01      -1.3404999e+01       8.0000000e+00      -2.0861725e+01      -1.2220536e+01       8.0000000e+00      -1.8489503e+01      -1.1036193e+01       8.0000000e+00      -1.6117221e+01      -9.8519708e+00       8.0000000e+00      -1.3744876e+01      -8.6678764e+00       8.0000001e+00      -1.1372466e+01      -7.4839150e+00       8.0000002e+00      -9.0000002e+00      -6.3000660e+00       1.3202228e+05       1.3201907e+05       1.3201595e+05       1.3201294e+05       1.3201004e+05       1.3200726e+05       1.3200456e+05       1.3200192e+05       1.3199929e+05       1.3199664e+05       1.3199392e+05       1.3199111e+05       1.3198822e+05       1.3198523e+05       1.3198216e+05       1.3197902e+05       1.3197583e+05       1.3197260e+05       1.3196934e+05       1.3196605e+05
    0.0400       8.0000000e+00      -5.6438000e+01      -3.0000000e+01       8.0000000e+00      -5.4066717e+01      -2.8813896e+01       8.0000000e+00      -5.1695375e+01      -2.7627911e+01       8.0000000e+00      -4.9323973e+01      -2.6442046e+01       8.0000000e+00      -4.6952511e+01      -2.5256298e+01       8.0000000e+00      -4.4580988e+01      -2.4070668e+01       8.0000000e+00      -4.2209403e+01      -2.2885157e+01       8.0000000e+00      -3.9837756e+01      -2.1699763e+01       8.0000000e+00      -3.7466046e+01      -2.0514486e+01       8.0000000e+00      -3.5094274e+01      -1.9329327e+01       8.0000000e+00      -3.2722439e+01      -1.8144285e+01       8.0000000e+00      -3.0350542e+01      -1.6959361e+01       8.0000000e+00      -2.7978584e+01      -1.5774554e+01       8.0000000e+00      -2.5606565e+01      -1.4589866e+01       8.0000000e+00      -2.3234485e+01      -1.3405297e+01       7.9999999e+00      -2.0862343e+01      -1.2220849e+01       7.9999975e+00      -1.8490136e+01      -1.1036532e+01       7.9999703e+00      -1.6117843e+01      -9.8523875e+00       7.9998084e+00      -1.3745378e+01      -8.6685883e+00       7.9994375e+00      -1.1372675e+01      -7.4852681e+00       7.9991845e+00      -9.0000006e+00      -6.3018906e+00       1.3175444e+05       1.3175352e+05       1.3175519e+05       1.3175974e+05       1.3176732e+05       1.3177779e+05       1.3179059e+05       1.3180483e+05       1.3181942e+05       1.3183328e+05       1.3184553e+05       1.3185557e+05       1.3186318e+05       1.3186839e+05       1.3187144e+05       1.3187269e+05       1.3187251e+05       1.3187123e+05       1.3186913e+05       1.3186637e+05
    0.0600       8.0000000e+00      -5.6438000e+01      -3.0000000e+01       8.0000000e+00      -5.4066793e+01      -2.8813933e+01       8.0000000e+00      -5.1695526e+01      -2.7627986e+01       8.0000000e+00      -4.9324200e+01      -2.6442157e+01       8.0000000e+00      -4.6952813e+01      -2.5256448e+01       8.0000000e+00      -4.4581367e+01      -2.4070856e+01       8.0000000e+00      -4.2209858e+01      -2.2885383e+01       8.0000000e+00      -3.9838288e+01      -2.1700027e+01       8.0000000e+00      -3.7466656e+01      -2.0514789e+01       8.0000000e+00      -3.5094961e+01      -1.9329669e+01       8.0000000e+00      -3.2723204e+01      -1.8144665e+01       8.0000000e+00      -3.0351384e+01      -1.6959780e+01       7.9999999e+00      -2.7979502e+01      -1.5775013e+01       7.9999990e+00      -2.5607556e+01      -1.4590368e+01       7.9999913e+00      -2.3235539e+01      -1.3405861e+01       7.9999453e+00      -2.0863425e+01      -1.2221547e+01       7.9997718e+00      -1.8491140e+01      -1.1037571e+01       7.9993991e+00      -1.6118617e+01      -9.8540726e+00       7.9989357e+00      -1.3745895e+01      -8.6709723e+00       7.9983753e+00      -1.1372945e+01      -7.4883286e+00       7.9978472e+00      -9.0000013e+00      -6.3056742e+00       1.3140257e+05       1.3140066e+05       1.3140059e+05       1.3140297e+05       1.3140838e+05       1.3141700e+05       1.3142852e+05       1.3144214e+05       1.3145675e+05       1.3147123e+05       1.3148463e+05       1.3149632e+05       1.3150602e+05       1.3151369e+05       1.3151949e+05       1.3152357e+05       1.3152610e+05       1.3152716e+05       1.3152676e+05       1.3152490e+05
    0.0800       8.0000000e+00      -5.6438000e+01      -3.0000000e+01       8.0000000e+00      -5.4066913e+01      -2.8813992e+01       8.0000000e+00      -5.1695768e+01      -2.7628103e+01       8.0000000e+00      -4.9324562e+01      -2.6442335e+01       8.0000000e+00      -4.6953297e+01      -2.5256685e+01       8.0000000e+00      -4.4581971e+01      -2.4071154e+01       8.0000000e+00      -4.2210585e+01      -2.2885741e+01       8.0000000e+00      -3.9839136e+01      -2.1700447e+01       8.0000000e+00      -3.7467626e+01      -2.0515269e+01       8.0000000e+00      -3.5096053e+01      -1.9330210e+01       7.9999997e+00      -3.2724416e+01      -1.8145269e+01       7.9999973e+00      -3.0352714e+01      -1.6960453e+01       7.9999831e+00      -2.7980935e+01      -1.5775782e+01       7.9999211e+00      -2.5609050e+01      -1.4591320e+01       7.9997326e+00      -2.3236992e+01      -1.3407199e+01       7.9993567e+00      -2.0864700e+01      -1.2223545e+01       7.9988668e+00      -1.8492193e+01      -1.1040318e+01       7.9983187e+00      -1.6119485e+01      -9.8574943e+00       7.9976106e+00      -1.3746503e+01      -8.6752175e+00       7.9967791e+00      -1.1373247e+01      -7.4934920e+00       7.9959870e+00      -9.0000024e+00      -6.3117437e+00       1.3083860e+05       1.3083601e+05       1.3083471e+05       1.3083561e+05       1.3083954e+05       1.3084693e+05       1.3085759e+05       1.3087074e+05       1.3088520e+05       1.3089976e+05       1.3091339e+05       1.3092543e+05       1.3093557e+05       1.3094381e+05       1.3095028e+05       1.3095512e+05       1.3095841e+05       1.3096015e+05       1.3096025e+05       1.3095863e+05
    0.1000       8.0000000e+00      -5.6438000e+01      -3.0000000e+01       8.0000000e+00      -5.4067090e+01      -2.8814077e+01       8.0000000e+00      -5.1696120e+01      -2.7628274e+01       8.0000000e+00      -4.9325090e+01      -2.6442591e+01       8.0000000e+00      -4.6954000e+01      -2.5257027e+01       8.0000000e+00      -4.4582848e+01      -2.4071583e+01       8.0000000e+00      -4.2211635e+01      -2.2886256e+01       7.9999999e+00      -3.9840359e+01      -2.1701048e+01       7.9999991e+00      -3.7469018e+01      -2.0515959e+01       7.9999946e+00      -3.5097609e+01      -1.9330997e+01       7.9999733e+00      -3.2726118e+01      -1.8146189e+01       7.9998968e+00      -3.0354511e+01      -1.6961601e+01       7.9996936e+00      -2.7982727e+01      -1.5777358e+01       7.9993122e+00      -2.5610711e+01      -1.4593573e+01       7.9988083e+00      -2.3238472e+01      -1.3410227e+01       7.9982523e+00      -2.0866036e+01      -1.2227270e+01       7.9975650e+00      -1.8493344e+01      -1.1044823e+01       7.9967327e+00      -1.6120376e+01      -9.8629263e+00       7.9957998e+00      -1.3747141e+01      -8.6815631e+00       7.9946931e+00      -1.1373578e+01      -7.5008560e+00       7.9936091e+00      -9.0000039e+00      -6.3201745e+00       1.3001678e+05       1.3001471e+05       1.3001450e+05       1.3001714e+05       1.3002356e+05       1.3003421e+05       1.3004886e+05       1.3006661e+05       1.3008615e+05       1.3010610e+05       1.3012525e+05       1.3014279e+05       1.3015830e+05       1.3017164e+05       1.3018283e+05       1.3019188e+05       1.3019874e+05       1.3020327e+05       1.3020528e+05       1.3020458e+05
    0.1200       8.0000000e+00      -5.6438000e+01      -3.0000000e+01       8.0000000e+00      -5.4067299e+01      -2.8814176e+01       8.0000000e+00      -5.1696538e+01      -2.7628473e+01       8.0000000e+00      -4.9325717e+01      -2.6442891e+01       8.0000000e+00      -4.6954836e+01      -2.5257429e+01       7.9999997e+00      -4.4583894e+01      -2.4072088e+01       7.9999982e+00      -4.2212888e+01      -2.2886870e+01       7.9999911e+00      -3.9841814e+01      -2.1701784e+01       7.9999624e+00      -3.7470654e+01      -2.0516860e+01       7.9998724e+00      -3.5099374e+01      -1.9332170e+01       7.9996555e+00      -3.2727916e+01      -1.8147828e+01       7.9992680e+00      -3.0356228e+01      -1.6963938e+01       7.9987559e+00      -2.7984316e+01      -1.5780489e+01       7.9981908e+00      -2.5612207e+01      -1.4597429e+01       7.9975219e+00      -2.3239862e+01      -1.3414838e+01       7.9966982e+00      -2.0867241e+01      -1.2232795e+01       7.9957827e+00      -1.8494366e+01      -1.1051258e+01       7.9947246e+00      -1.6121197e+01      -9.8703091e+00       7.9935066e+00      -1.3747717e+01      -8.6899847e+00       7.9921221e+00      -1.1373897e+01      -7.5103438e+00       7.9907127e+00      -9.0000056e+00      -6.3308469e+00       1.2904484e+05       1.2904195e+05       1.2904016e+05       1.2904050e+05       1.2904399e+05       1.2905121e+05       1.2906203e+05       1.2907570e+05       1.2909106e+05       1.2910683e+05       1.2912196e+05       1.2913574e+05       1.2914783e+05       1.2915816e+05       1.2916678e+05       1.2917371e+05       1.2917889e+05       1.2918216e+05       1.2918329e+05       1.2918209e+05
    0.1400       8.0000000e+00      -5.6438000e+01      -3.0000000e+01       8.0000000e+00      -5.4067554e+01      -2.8814295e+01       7.9999999e+00      -5.1697047e+01      -2.7628713e+01       7.9999994e+00      -4.9326479e+01      -2.6443254e+01       7.9999970e+00      -4.6955848e+01      -2.5257921e+01       7.9999868e+00      -4.4585147e+01      -2.4072726e+01       7.9999508e+00      -4.2214358e+01      -2.2887704e+01       7.9998483e+00      -3.9843445e+01      -2.1702925e+01       7.9996191e+00      -3.7472352e+01      -2.0518501e+01       7.9992260e+00      -3.5101032e+01      -1.9334523e+01       7.9987088e+00      -3.2729489e+01      -1.8150985e+01       7.9981371e+00      -3.0357749e+01      -1.6967833e+01       7.9974813e+00      -2.7985787e+01      -1.5785120e+01       7.9966766e+00      -2.5613558e+01      -1.4602937e+01       7.9957713e+00      -2.3241078e+01      -1.3421251e+01       7.9947595e+00      -2.0868335e+01      -1.2240091e+01       7.9935816e+00      -1.8495288e+01      -1.1059538e+01       7.9922671e+00      -1.6121940e+01      -9.8795850e+00       7.9907661e+00      -1.3748254e+01      -8.7003134e+00       7.9890614e+00      -1.1374197e+01      -7.5217871e+00       7.9873011e+00      -9.0000077e+00      -6.3435289e+00       1.2786506e+05       1.2786203e+05       1.2785990e+05       1.2785968e+05       1.2786235e+05       1.2786848e+05       1.2787801e+05       1.2789027e+05       1.2790421e+05       1.2791868e+05       1.2793270e+05       1.2794562e+05       1.2795712e+05       1.2796709e+05       1.2797553e+05       1.2798241e+05       1.2798761e+05       1.2799090e+05       1.2799201e+05       1.2799071e+05
    0.1600       8.0000000e+00      -5.6438000e+01      -3.0000000e+01       7.9999991e+00      -5.4067844e+01      -2.8814432e+01       7.9999955e+00      -5.1697623e+01      -2.7628995e+01       7.9999820e+00      -4.9327331e+01      -2.6443702e+01       7.9999388e+00      -4.6956947e+01      -2.5258590e+01       7.9998251e+00      -4.4586436e+01      -2.4073734e+01       7.9995853e+00      -4.2215744e+01      -2.2889236e+01       7.9991874e+00      -3.9844830e+01      -2.1705180e+01       7.9986675e+00      -3.7473693e+01      -2.0521562e+01       7.9980916e+00      -3.5102360e+01      -1.9338329e+01       7.9974461e+00      -3.2730818e+01      -1.8155511e+01       7.9966641e+00      -3.0359020e+01      -1.6973198e+01       7.9957716e+00      -2.7986973e+01      -1.5791376e+01       7.9947955e+00      -2.5614685e+01      -1.4610036e+01       7.9936685e+00      -2.3242112e+01      -1.3429261e+01       7.9924031e+00      -2.0869254e+01      -1.2249056e+01       7.9909887e+00      -1.8496091e+01      -1.1069459e+01       7.9893788e+00      -1.6122590e+01      -9.8905414e+00       7.9875757e+00      -1.3748734e+01      -8.7123366e+00       7.9855252e+00      -1.1374472e+01      -7.5349508e+00       7.9833818e+00      -9.0000100e+00      -6.3579693e+00       1.2651815e+05       1.2651518e+05       1.2651312e+05       1.2651286e+05       1.2651529e+05       1.2652093e+05       1.2652970e+05       1.2654103e+05       1.2655395e+05       1.2656743e+05       1.2658057e+05       1.2659279e+05       1.2660374e+05       1.2661333e+05       1.2662149e+05       1.2662817e+05       1.2663319e+05       1.2663631e+05       1.2663725e+05       1.2663577e+05
    0.1800       8.0000000e+00      -5.6438000e+01      -3.0000000e+01       7.9999783e+00      -5.4068141e+01      -2.8814624e+01       7.9999271e+00      -5.1698191e+01      -2.7629431e+01       7.9998033e+00      -4.9328112e+01      -2.6444499e+01       7.9995547e+00      -4.6957851e+01      -2.5259929e+01       7.9991533e+00      -4.4587371e+01      -2.4075798e+01       7.9986324e+00      -4.2216673e+01      -2.2892103e+01       7.9980548e+00      -3.9845781e+01      -2.1708793e+01       7.9974180e+00      -3.7474688e+01      -2.0525880e+01       7.9966593e+00      -3.5103355e+01      -1.9343445e+01       7.9957845e+00      -3.2731777e+01      -1.8161494e+01       7.9948358e+00      -3.0359971e+01      -1.6979997e+01       7.9937616e+00      -2.7987906e+01      -1.5799017e+01       7.9925427e+00      -2.5615564e+01      -1.4618586e+01       7.9912018e+00      -2.3242949e+01      -1.3438704e+01       7.9896833e+00      -2.0870021e+01      -1.2259446e+01       7.9879866e+00      -1.8496769e+01      -1.1080839e+01       7.9860837e+00      -1.6123161e+01      -9.9029492e+00       7.9839395e+00      -1.3749160e+01      -8.7258492e+00       7.9815249e+00      -1.1374722e+01      -7.5496320e+00       7.9789664e+00      -9.0000124e+00      -6.3739658e+00       1.2504216e+05       1.2503891e+05       1.2503624e+05       1.2503495e+05       1.2503583e+05       1.2503936e+05       1.2504551e+05       1.2505377e+05       1.2506334e+05       1.2507333e+05       1.2508298e+05       1.2509180e+05       1.2509955e+05       1.2510617e+05       1.2511164e+05       1.2511593e+05       1.2511892e+05       1.2512041e+05       1.2512018e+05       1.2511801e+05
