time,relative_surge,relative_sway,relative_heave,relative_roll,relative_pitch,relative_yaw
0,25.7,3.5527136788005e-15,0,-6.7762635780344e-21,5.42101086242752e-20,-5.55111479225354e-17
0.02,25.6999999935431,-4.38102887301284e-11,2.08182795446987e-08,5.85356354608738e-13,5.86990281534044e-09,1.08089395228764e-11
0.04,25.7000322640417,-6.55452758735464e-09,8.78150131748967e-05,4.57791256791925e-09,-2.93310834191888e-05,-3.49544813708129e-09
0.06,25.7001323188366,-4.22792627574609e-08,0.000428659660952846,2.05461091340567e-08,-0.000120293101654878,-1.60480044326844e-08
0.08,25.7003057375542,-1.3189955261339e-07,0.00110869371603428,5.23327394443082e-08,-0.000277964974813261,-3.64873958651364e-08
0.1,25.7005538375157,-2.97248570646502e-07,0.00216596985525896,1.01637188129037e-07,-0.000503571645506277,-6.54711104533538e-08
0.12,25.7008755298878,-5.48114616805151e-07,0.0035931957003692,1.68630203405186e-07,-0.000796164690619833,-1.02887407930115e-07
0.14,25.7012680806061,-8.80834928551621e-07,0.00535530809939377,2.51963442902481e-07,-0.00115330802133753,-1.48307055286558e-07
0.16,25.7017283650892,-1.28165810409087e-06,0.00741007466055787,3.49657289436488e-07,-0.00157221272957898,-2.01014238781266e-07
0.18,25.7022536902097,-1.73333250508279e-06,0.00972340724997611,4.59792936270491e-07,-0.00205048274482836,-2.60256217370428e-07
0.2,25.702842072021,-2.22137210137419e-06,0.0122757945326777,5.80975464533524e-07,-0.00258636970999289,-3.25395088215888e-07
0.22,25.7034920965831,-2.73766323743985e-06,0.0150609694827697,7.12443894127571e-07,-0.00317864996484297,-3.95969334165162e-07
0.24,25.7042025707716,-3.28070412258796e-06,0.0180802223729364,8.53913908131462e-07,-0.00382630892343244,-4.71652479869655e-07
0.26,25.7049721614442,-3.85333125763054e-06,0.0213359522770018,1.00529045190806e-06,-0.00452821202518872,-5.52151429554805e-07
0.28,25.7057991817604,-4.45950807126394e-06,0.024827056971592,1.16639860883166e-06,-0.00528290724019867,-6.37112206611122e-07
0.3,25.7066815373267,-5.10165062195256e-06,0.0285470626155524,1.33681921904172e-06,-0.00608857212643569,-7.26065727750549e-07
0.32,25.7076167946032,-5.77930070200239e-06,0.0324845976067825,1.51585156207522e-06,-0.00694307273014634,-8.18425573201609e-07
0.34,25.7086023072383,-6.48918998713555e-06,0.0366251791830501,1.70257380869966e-06,-0.00784407664596098,-9.13526501791802e-07
0.36,25.7096353278388,-7.22621602200491e-06,0.0409531895626709,1.89594571831636e-06,-0.00878915425632322,-1.01067421020171e-06
0.38,25.7107130763864,-7.98467713636342e-06,0.0454533089351079,2.09490464766262e-06,-0.00977584132546872,-1.10918561172229e-06
0.4,25.7118327601506,-8.75924683541029e-06,0.0501111485498433,2.29842553877413e-06,-0.0108016574731136,-1.20840766676231e-06
0.42,25.7129915575109,-9.54544870523932e-06,0.0549131938401355,2.505538013596e-06,-0.0118640912462721,-1.30771418781139e-06
0.44,25.7141865919438,-1.03396561303981e-05,0.0598463697499421,2.71531212055892e-06,-0.0129605755310779,-1.40649123647396e-06
0.46,25.7154149153334,-1.11387990084921e-05,0.0648975286408997,2.92683259512316e-06,-0.0140884709197039,-1.50412228272698e-06
0.48,25.7166735069778,-1.19399875710968e-05,0.070053061888955,3.13917788663692e-06,-0.0152450631748016,-1.59998008550238e-06
0.5,25.7179592800858,-1.27402128597964e-05,0.0752987350750765,3.35140643108359e-06,-0.0164275677206924,-1.69342611524684e-06
0.52,25.7192690919223,-1.35361995265981e-05,0.0806197317994535,3.5625504247317e-06,-0.0176331378962006,-1.78381636220544e-06
0.54,25.7205997612539,-1.43243985100128e-05,0.0860008109190451,3.77162242163004e-06,-0.0188588802823675,-1.87051165494433e-06
0.56,25.7219480849549,-1.51010664275475e-05,0.0914264911743805,3.97762745649417e-06,-0.0201018695913176,-1.95288757503936e-06
0.58,25.72331084931,-1.58623786603584e-05,0.0968812119583102,4.1795725698375e-06,-0.0213591589337707,-2.03034112087273e-06
0.6,25.7246848381254,-1.66045294172079e-05,0.102349440456968,4.3764757318117e-06,-0.0226277872562448,-2.10229356288962e-06
0.62,25.726066838757,-1.73237976639484e-05,0.107815727421832,4.56737162136881e-06,-0.0239047848969973,-2.16819050188701e-06
0.64,25.7274536478909,-1.80165784673392e-05,0.11326472908837,4.75131429183561e-06,-0.0251871789303885,-2.22750091543843e-06
0.66,25.7288420771183,-1.86793871481683e-05,0.118681215200421,4.92737887159825e-06,-0.026471998376547,-2.27971595291951e-06
