      Time            FairTen1            FairTen2            FairTen3            FairTen4            FairTen5            FairTen6            FairTen7            FairTen8            FairTen9           FairTen10           FairTen11           FairTen12
    0.0000       1.3189153e+05       1.3189153e+05       1.3189153e+05       1.3189153e+05       1.3189153e+05       1.3189153e+05       1.3189153e+05       1.3189153e+05       1.3189153e+05       1.3189153e+05       1.3189153e+05       1.3189153e+05
    0.0200       1.3188692e+05       1.3188694e+05       1.3188692e+05       1.3188694e+05       1.3188689e+05       1.3188691e+05       1.3188691e+05       1.3188693e+05       1.3188693e+05       1.3188693e+05       1.3188691e+05       1.3188691e+05
    0.0400       1.3173360e+05       1.3173372e+05       1.3183943e+05       1.3175527e+05       1.3183929e+05       1.3175517e+05       1.3179580e+05       1.3179588e+05       1.3181131e+05       1.3182393e+05       1.3181121e+05       1.3182382e+05
    0.0600       1.3129332e+05       1.3129364e+05       1.3169129e+05       1.3137196e+05       1.3169093e+05       1.3137177e+05       1.3152550e+05       1.3152570e+05       1.3158949e+05       1.3164191e+05       1.3158929e+05       1.3164168e+05
    0.0800       1.3068349e+05       1.3068412e+05       1.3139514e+05       1.3081318e+05       1.3139451e+05       1.3081283e+05       1.3109179e+05       1.3109217e+05       1.3122943e+05       1.3134297e+05       1.3122909e+05       1.3134255e+05
    0.1000       1.2982540e+05       1.2982643e+05       1.3096362e+05       1.3002563e+05       1.3096266e+05       1.3002509e+05       1.3047534e+05       1.3047600e+05       1.3071223e+05       1.3090959e+05       1.3071173e+05       1.3090893e+05
    0.1200       1.2872224e+05       1.2872378e+05       1.3039284e+05       1.2901105e+05       1.3039150e+05       1.2901033e+05       1.2967524e+05       1.2967624e+05       1.3003633e+05       1.3033984e+05       1.3003566e+05       1.3033891e+05
    0.1400       1.2744997e+05       1.2745212e+05       1.2971445e+05       1.2783817e+05       1.2971273e+05       1.2783723e+05       1.2874226e+05       1.2874368e+05       1.2924238e+05       1.2966577e+05       1.2924153e+05       1.2966455e+05
    0.1600       1.2594903e+05       1.2595187e+05       1.2894345e+05       1.2646435e+05       1.2894129e+05       1.2646321e+05       1.2766071e+05       1.2766261e+05       1.2832149e+05       1.2888317e+05       1.2832047e+05       1.2888164e+05
    0.1800       1.2433716e+05       1.2434076e+05       1.2810139e+05       1.2498527e+05       1.2809877e+05       1.2498390e+05       1.2648905e+05       1.2649148e+05       1.2732271e+05       1.2803229e+05       1.2732151e+05       1.2803043e+05
    0.2000       1.2253017e+05       1.2253460e+05       1.2719688e+05       1.2333725e+05       1.2719375e+05       1.2333563e+05       1.2519748e+05       1.2520047e+05       1.2622577e+05       1.2709985e+05       1.2622437e+05       1.2709764e+05
    0.2200       1.2062231e+05       1.2062761e+05       1.2623144e+05       1.2159238e+05       1.2622774e+05       1.2159046e+05       1.2382293e+05       1.2382652e+05       1.2506102e+05       1.2611009e+05       1.2505940e+05       1.2610749e+05
    0.2400       1.1853806e+05       1.1854430e+05       1.2520353e+05       1.1969195e+05       1.2519922e+05       1.1968971e+05       1.2233396e+05       1.2233818e+05       1.2380388e+05       1.2504394e+05       1.2380201e+05       1.2504092e+05
    0.2600       1.1633373e+05       1.1634096e+05       1.2410471e+05       1.1767721e+05       1.2409974e+05       1.1767460e+05       1.2074754e+05       1.2075244e+05       1.2246668e+05       1.2390978e+05       1.2246453e+05       1.2390630e+05
    0.2800       1.1396411e+05       1.1397239e+05       1.2293264e+05       1.1551336e+05       1.2292697e+05       1.1551035e+05       1.1904445e+05       1.1905006e+05       1.2103295e+05       1.2269349e+05       1.2103049e+05       1.2268953e+05
    0.3000       1.1145787e+05       1.1146724e+05       1.2168189e+05       1.1322148e+05       1.2167549e+05       1.1321805e+05       1.1723268e+05       1.1723905e+05       1.1950797e+05       1.2139794e+05       1.1950521e+05       1.2139347e+05
    0.3200       1.0880342e+05       1.0881395e+05       1.2035577e+05       1.1079428e+05       1.2034863e+05       1.1079041e+05       1.1530946e+05       1.1531663e+05       1.1788921e+05       1.2002044e+05       1.1788613e+05       1.2001544e+05
    0.3400       1.0601385e+05       1.0602558e+05       1.1895597e+05       1.0824251e+05       1.1894808e+05       1.0823818e+05       1.1328025e+05       1.1328826e+05       1.1618155e+05       1.1856464e+05       1.1617815e+05       1.1855911e+05
    0.3600       1.0310012e+05       1.0311310e+05       1.1748967e+05       1.0557641e+05       1.1748102e+05       1.0557160e+05       1.1115303e+05       1.1116192e+05       1.1439216e+05       1.1703646e+05       1.1438844e+05       1.1703039e+05
    0.3800       1.0006635e+05       1.0008061e+05       1.1596180e+05       1.0280006e+05       1.1595239e+05       1.0279477e+05       1.0893126e+05       1.0894105e+05       1.1252502e+05       1.1543958e+05       1.1252099e+05       1.1543298e+05
    0.4000       9.6931146e+04       9.6946722e+04       1.1437865e+05       9.9929291e+04       1.1436849e+05       9.9923487e+04       1.0662541e+05       1.0663614e+05       1.1058953e+05       1.1378188e+05       1.1058517e+05       1.1377473e+05
    0.4200       9.3693712e+04       9.3710623e+04       1.1274443e+05       9.6964339e+04       1.1273350e+05       9.6958007e+04       1.0423673e+05       1.0424842e+05       1.0858757e+05       1.1206520e+05       1.0858290e+05       1.1205752e+05
    0.4400       9.0371305e+04       9.0389571e+04       1.1106268e+05       9.3919525e+04       1.1105098e+05       9.3912643e+04       1.0177375e+05       1.0178643e+05       1.0652654e+05       1.1029547e+05       1.0652155e+05       1.1028723e+05
    0.4600       8.6962530e+04       8.6982163e+04       1.0933610e+05       9.0794426e+04       1.0932365e+05       9.0786976e+04       9.9236825e+04       9.9250502e+04       1.0440706e+05       1.0847307e+05       1.0440174e+05       1.0846429e+05
    0.4800       8.3481018e+04       8.3502028e+04       1.0756668e+05       8.7600280e+04       1.0755349e+05       8.7592242e+04       9.6632215e+04       9.6646910e+04       1.0223432e+05       1.0660186e+05       1.0222868e+05       1.0659254e+05
    0.5000       7.9928181e+04       7.9950573e+04       1.0575693e+05       8.4338849e+04       1.0574302e+05       8.4330209e+04       9.3961364e+04       9.3977093e+04       1.0000967e+05       1.0468265e+05       1.0000370e+05       1.0467279e+05
    0.5200       7.6315026e+04       7.6338802e+04       1.0390914e+05       8.1019336e+04       1.0389452e+05       8.1010083e+04       9.1229583e+04       9.1246358e+04       9.7737605e+04       1.0271876e+05       9.7731331e+04       1.0270839e+05
    0.5400       7.2646919e+04       7.2672074e+04       1.0202669e+05       7.7646698e+04       1.0201140e+05       7.7636822e+04       8.8440412e+04       8.8458245e+04       9.5421322e+04       1.0071262e+05       9.5414746e+04       1.0070174e+05
    0.5600       6.8933423e+04       6.8959948e+04       1.0011289e+05       7.4229125e+04       1.0009697e+05       7.4218622e+04       8.5599096e+04       8.5617994e+04       9.3065494e+04       9.8667910e+04       9.3058628e+04       9.8656538e+04
    0.5800       6.5182808e+04       6.5210692e+04       9.8171824e+04       7.0773905e+04       9.8155308e+04       7.0762769e+04       8.2710804e+04       8.2730774e+04       9.0674771e+04       9.6588369e+04       9.0667629e+04       9.6576532e+04
    0.6000       6.1403638e+04       6.1432861e+04       9.6207317e+04       6.7288461e+04       9.6190249e+04       6.7276692e+04       7.9780699e+04       7.9801742e+04       8.8253815e+04       9.4477802e+04       8.8246413e+04       9.4465524e+04
    0.6200       5.7605279e+04       5.7635818e+04       9.4223404e+04       6.3780888e+04       9.4205828e+04       6.3768485e+04       7.6814482e+04       7.6836599e+04       8.5807680e+04       9.2340323e+04       8.5800034e+04       9.2327631e+04
    0.6400       5.3795465e+04       5.3827291e+04       9.2223772e+04       6.0257898e+04       9.2205739e+04       6.0244863e+04       7.3816987e+04       7.3840174e+04       8.3340665e+04       9.0179439e+04       8.3332793e+04       9.0166362e+04
    0.6600       4.9983419e+04       5.0016501e+04       9.0212037e+04       5.6727371e+04       9.0193600e+04       5.6713709e+04       7.0793714e+04       7.0817965e+04       8.0857564e+04       8.7999025e+04       8.0849484e+04       8.7985592e+04
    0.6800       4.6176427e+04       4.6210727e+04       8.8191621e+04       5.3195610e+04       8.8172838e+04       5.3181328e+04       6.7749237e+04       6.7774543e+04       7.8362377e+04       8.5802307e+04       7.8354108e+04       8.5788553e+04
    0.7000       4.2383207e+04       4.2418685e+04       8.6165863e+04       4.9670056e+04       8.6146793e+04       4.9655164e+04       6.4688757e+04       6.4715107e+04       7.5859600e+04       8.3592904e+04       7.5851165e+04       8.3578864e+04
    0.7200       3.8611059e+04       3.8647669e+04       8.4138110e+04       4.6157022e+04       8.4118817e+04       4.6141534e+04       6.1616880e+04       6.1644261e+04       7.3353230e+04       8.1374045e+04       7.3344652e+04       8.1359757e+04
    0.7400       3.4868308e+04       3.4906001e+04       8.2111678e+04       4.2663645e+04       8.2092228e+04       4.2647578e+04       5.8538686e+04       5.8567082e+04       7.0847654e+04       7.9149295e+04       7.0838959e+04       7.9134798e+04
    0.7600       3.1162493e+04       3.1201215e+04       8.0089989e+04       3.9196452e+04       8.0070452e+04       3.9179825e+04       5.5458995e+04       5.5488389e+04       6.8347038e+04       7.6922067e+04       6.8338251e+04       7.6907405e+04
    0.7800       2.7501648e+04       2.7541342e+04       7.8076435e+04       3.5762361e+04       7.8056884e+04       3.5745199e+04       5.2382870e+04       5.2413241e+04       6.5855741e+04       7.4695964e+04       6.5846890e+04       7.4681181e+04
    0.8000       2.3893482e+04       2.3934087e+04       7.6074473e+04       3.2368040e+04       7.6054982e+04       3.2350369e+04       4.9315295e+04       4.9346620e+04       6.3378042e+04       7.2474548e+04       6.3369155e+04       7.2459689e+04
    0.8200       2.0345767e+04       2.0387217e+04       7.4087477e+04       2.9020193e+04       7.4068123e+04       2.9002044e+04       4.6261269e+04       4.6293523e+04       6.0918208e+04       7.0261395e+04       6.0909316e+04       7.0246507e+04
