      Time             Node0px             Node0py             Node0pz             Node1px             Node1py             Node1pz             Node2px             Node2py             Node2pz             Node3px             Node3py             Node3pz             Node4px             Node4py             Node4pz             Node5px             Node5py             Node5pz             Node6px             Node6py             Node6pz             Node7px             Node7py             Node7pz             Node8px             Node8py             Node8pz             Node9px             Node9py             Node9pz            Node10px            Node10py            Node10pz            Node11px            Node11py            Node11pz            Node12px            Node12py            Node12pz            Node13px            Node13py            Node13pz            Node14px            Node14py            Node14pz            Node15px            Node15py            Node15pz            Node16px            Node16py            Node16pz            Node17px            Node17py            Node17pz            Node18px            Node18py            Node18pz            Node19px            Node19py            Node19pz            Node20px            Node20py            Node20pz              Seg1Te              Seg2Te              Seg3Te              Seg4Te              Seg5Te              Seg6Te              Seg7Te              Seg8Te              Seg9Te             Seg10Te             Seg11Te             Seg12Te             Seg13Te             Seg14Te             Seg15Te             Seg16Te             Seg17Te             Seg18Te             Seg19Te             Seg20Te
    0.0000      -5.6438000e+01      -8.0000000e+00      -3.0000000e+01      -5.4068034e+01      -8.0000000e+00      -2.8811075e+01      -5.1697865e+01      -8.0000000e+00      -2.7622563e+01      -4.9327491e+01      -8.0000000e+00      -2.6434464e+01      -4.6956914e+01      -8.0000000e+00      -2.5246777e+01      -4.4586133e+01      -8.0000000e+00      -2.4059503e+01      -4.2215149e+01      -8.0000000e+00      -2.2872642e+01      -3.9843961e+01      -8.0000000e+00      -2.1686194e+01      -3.7472569e+01      -8.0000000e+00      -2.0500159e+01      -3.5100974e+01      -8.0000000e+00      -1.9314537e+01      -3.2729175e+01      -8.0000000e+00      -1.8129328e+01      -3.0357173e+01      -8.0000000e+00      -1.6944533e+01      -2.7984967e+01      -8.0000000e+00      -1.5760152e+01      -2.5612558e+01      -8.0000000e+00      -1.4576184e+01      -2.3239945e+01      -8.0000000e+00      -1.3392630e+01      -2.0867129e+01      -8.0000000e+00      -1.2209490e+01      -1.8494110e+01      -8.0000000e+00      -1.1026763e+01      -1.6120887e+01      -8.0000000e+00      -9.8444512e+00      -1.3747461e+01      -8.0000000e+00      -8.6625531e+00      -1.1373832e+01      -8.0000000e+00      -7.4810694e+00      -9.0000000e+00      -8.0000000e+00      -6.3000000e+00       1.3211501e+05       1.3210351e+05       1.3209202e+05       1.3208053e+05       1.3206905e+05       1.3205757e+05       1.3204609e+05       1.3203461e+05       1.3202314e+05       1.3201168e+05       1.3200022e+05       1.3198876e+05       1.3197731e+05       1.3196586e+05       1.3195441e+05       1.3194297e+05       1.3193153e+05       1.3192010e+05       1.3190867e+05       1.3189724e+05
    0.0200      -5.6438000e+01      -8.0000000e+00      -3.0000000e+01      -5.4068036e+01      -8.0000000e+00      -2.8811076e+01      -5.1697869e+01      -8.0000000e+00      -2.7622565e+01      -4.9327497e+01      -8.0000000e+00      -2.6434467e+01      -4.6956922e+01      -8.0000000e+00      -2.5246781e+01      -4.4586143e+01      -8.0000000e+00      -2.4059508e+01      -4.2215160e+01      -8.0000000e+00      -2.2872647e+01      -3.9843974e+01      -8.0000000e+00      -2.1686200e+01      -3.7472583e+01      -8.0000000e+00      -2.0500166e+01      -3.5100989e+01      -8.0000000e+00      -1.9314545e+01      -3.2729191e+01      -8.0000000e+00      -1.8129337e+01      -3.0357190e+01      -8.0000000e+00      -1.6944542e+01      -2.7984985e+01      -8.0000000e+00      -1.5760161e+01      -2.5612577e+01      -8.0000000e+00      -1.4576194e+01      -2.3239965e+01      -8.0000000e+00      -1.3392640e+01      -2.0867150e+01      -8.0000000e+00      -1.2209500e+01      -1.8494132e+01      -8.0000000e+00      -1.1026775e+01      -1.6120910e+01      -8.0000000e+00      -9.8444631e+00      -1.3747484e+01      -8.0000000e+00      -8.6625692e+00      -1.1373846e+01      -8.0000001e+00      -7.4811061e+00      -8.9999998e+00      -8.0000002e+00      -6.3000664e+00       1.3210540e+05       1.3209403e+05       1.3208279e+05       1.3207171e+05       1.3206079e+05       1.3204998e+05       1.3203922e+05       1.3202842e+05       1.3201753e+05       1.3200649e+05       1.3199532e+05       1.3198402e+05       1.3197266e+05       1.3196124e+05       1.3194981e+05       1.3193838e+05       1.3192694e+05       1.3191551e+05       1.3190408e+05       1.3189265e+05
    0.0400      -5.6438000e+01      -8.0000000e+00      -3.0000000e+01      -5.4068102e+01      -8.0000000e+00      -2.8811109e+01      -5.1697999e+01      -8.0000000e+00      -2.7622631e+01      -4.9327691e+01      -8.0000000e+00      -2.6434564e+01      -4.6957176e+01      -8.0000000e+00      -2.5246908e+01      -4.4586454e+01      -8.0000000e+00      -2.4059663e+01      -4.2215523e+01      -8.0000000e+00      -2.2872829e+01      -3.9844384e+01      -8.0000000e+00      -2.1686405e+01      -3.7473036e+01      -8.0000000e+00      -2.0500392e+01      -3.5101481e+01      -8.0000000e+00      -1.9314790e+01      -3.2729720e+01      -8.0000000e+00      -1.8129600e+01      -3.0357753e+01      -8.0000000e+00      -1.6944823e+01      -2.7985581e+01      -8.0000000e+00      -1.5760458e+01      -2.5613206e+01      -8.0000000e+00      -1.4576507e+01      -2.3240627e+01      -8.0000000e+00      -1.3392969e+01      -2.0867844e+01      -8.0000000e+00      -1.2209846e+01      -1.8494858e+01      -8.0000000e+00      -1.1027138e+01      -1.6121664e+01      -8.0000000e+00      -9.8448513e+00      -1.3748259e+01      -8.0000002e+00      -8.6629961e+00      -1.1374645e+01      -8.0000004e+00      -7.4815652e+00      -9.0008171e+00      -8.0000007e+00      -6.3005711e+00       1.3179702e+05       1.3178948e+05       1.3178641e+05       1.3178831e+05       1.3179505e+05       1.3180541e+05       1.3181712e+05       1.3182756e+05       1.3183448e+05       1.3183670e+05       1.3183420e+05       1.3182787e+05       1.3181894e+05       1.3180853e+05       1.3179743e+05       1.3178606e+05       1.3177462e+05       1.3176319e+05       1.3175176e+05       1.3174033e+05
    0.0600      -5.6438000e+01      -8.0000000e+00      -3.0000000e+01      -5.4068187e+01      -8.0000000e+00      -2.8811150e+01      -5.1698169e+01      -8.0000000e+00      -2.7622713e+01      -4.9327945e+01      -8.0000000e+00      -2.6434688e+01      -4.6957513e+01      -8.0000000e+00      -2.5247074e+01      -4.4586873e+01      -8.0000000e+00      -2.4059871e+01      -4.2216024e+01      -8.0000000e+00      -2.2873077e+01      -3.9844966e+01      -8.0000000e+00      -2.1686694e+01      -3.7473700e+01      -8.0000000e+00      -2.0500721e+01      -3.5102226e+01      -8.0000000e+00      -1.9315159e+01      -3.2730547e+01      -8.0000000e+00      -1.8130010e+01      -3.0358663e+01      -8.0000000e+00      -1.6945274e+01      -2.7986576e+01      -8.0000000e+00      -1.5760951e+01      -2.5614286e+01      -8.0000000e+00      -1.4577042e+01      -2.3241793e+01      -8.0000000e+00      -1.3393548e+01      -2.0869095e+01      -8.0000000e+00      -1.2210473e+01      -1.8496189e+01      -8.0000001e+00      -1.1027823e+01      -1.6123071e+01      -8.0000003e+00      -9.8456067e+00      -1.3749724e+01      -8.0000006e+00      -8.6638540e+00      -1.1376071e+01      -8.0000012e+00      -7.4827238e+00      -9.0021560e+00      -8.0000017e+00      -6.3021248e+00       1.3140053e+05       1.3139385e+05       1.3139255e+05       1.3139718e+05       1.3140735e+05       1.3142127e+05       1.3143583e+05       1.3144754e+05       1.3145357e+05       1.3145265e+05       1.3144525e+05       1.3143308e+05       1.3141830e+05       1.3140283e+05       1.3138795e+05       1.3137423e+05       1.3136169e+05       1.3135001e+05       1.3133875e+05       1.3132749e+05
    0.0800      -5.6438000e+01      -8.0000000e+00      -3.0000000e+01      -5.4068326e+01      -8.0000000e+00      -2.8811215e+01      -5.1698445e+01      -8.0000000e+00      -2.7622845e+01      -4.9328357e+01      -8.0000000e+00      -2.6434887e+01      -4.6958062e+01      -8.0000000e+00      -2.5247341e+01      -4.4587558e+01      -8.0000000e+00      -2.4060205e+01      -4.2216845e+01      -8.0000000e+00      -2.2873479e+01      -3.9845921e+01      -8.0000000e+00      -2.1687162e+01      -3.7474788e+01      -8.0000000e+00      -2.0501256e+01      -3.5103448e+01      -8.0000000e+00      -1.9315761e+01      -3.2731901e+01      -8.0000000e+00      -1.8130678e+01      -3.0360150e+01      -8.0000000e+00      -1.6946007e+01      -2.7988194e+01      -8.0000000e+00      -1.5761750e+01      -2.5616035e+01      -8.0000000e+00      -1.4577909e+01      -2.3243669e+01      -8.0000000e+00      -1.3394489e+01      -2.0871092e+01      -8.0000002e+00      -1.2211499e+01      -1.8498295e+01      -8.0000004e+00      -1.1028956e+01      -1.6125242e+01      -8.0000009e+00      -9.8469324e+00      -1.3751846e+01      -8.0000015e+00      -8.6656014e+00      -1.1378059e+01      -8.0000023e+00      -7.4850625e+00      -9.0040174e+00      -8.0000032e+00      -6.3050413e+00       1.3075898e+05       1.3075251e+05       1.3075183e+05       1.3075778e+05       1.3077014e+05       1.3078700e+05       1.3080493e+05       1.3081993e+05       1.3082882e+05       1.3083018e+05       1.3082460e+05       1.3081408e+05       1.3080111e+05       1.3078780e+05       1.3077544e+05       1.3076446e+05       1.3075463e+05       1.3074531e+05       1.3073577e+05       1.3072538e+05
    0.1000      -5.6438000e+01      -8.0000000e+00      -3.0000000e+01      -5.4068513e+01      -8.0000000e+00      -2.8811301e+01      -5.1698820e+01      -8.0000000e+00      -2.7623018e+01      -4.9328918e+01      -8.0000000e+00      -2.6435150e+01      -4.6958808e+01      -8.0000000e+00      -2.5247695e+01      -4.4588489e+01      -8.0000000e+00      -2.4060651e+01      -4.2217960e+01      -8.0000000e+00      -2.2874016e+01      -3.9847221e+01      -8.0000000e+00      -2.1687792e+01      -3.7476272e+01      -8.0000000e+00      -2.0501977e+01      -3.5105115e+01      -8.0000000e+00      -1.9316573e+01      -3.2733752e+01      -8.0000000e+00      -1.8131581e+01      -3.0362183e+01      -8.0000000e+00      -1.6947003e+01      -2.7990409e+01      -8.0000000e+00      -1.5762842e+01      -2.5618425e+01      -8.0000001e+00      -1.4579105e+01      -2.3246225e+01      -8.0000003e+00      -1.3395807e+01      -2.0873791e+01      -8.0000006e+00      -1.2212984e+01      -1.8501066e+01      -8.0000011e+00      -1.1030747e+01      -1.6127968e+01      -8.0000019e+00      -9.8492629e+00      -1.3754472e+01      -8.0000028e+00      -8.6685826e+00      -1.1380571e+01      -8.0000039e+00      -7.4887195e+00      -9.0063958e+00      -8.0000051e+00      -6.3094149e+00       1.2989268e+05       1.2988608e+05       1.2988531e+05       1.2989134e+05       1.2990412e+05       1.2992176e+05       1.2994071e+05       1.2995683e+05       1.2996683e+05       1.2996934e+05       1.2996509e+05       1.2995631e+05       1.2994565e+05       1.2993526e+05       1.2992634e+05       1.2991906e+05       1.2991282e+05       1.2990661e+05       1.2989932e+05       1.2989004e+05
    0.1200      -5.6438000e+01      -8.0000000e+00      -3.0000000e+01      -5.4068743e+01      -8.0000000e+00      -2.8811402e+01      -5.1699277e+01      -8.0000000e+00      -2.7623223e+01      -4.9329602e+01      -8.0000000e+00      -2.6435462e+01      -4.6959720e+01      -8.0000000e+00      -2.5248115e+01      -4.4589627e+01      -8.0000000e+00      -2.4061182e+01      -4.2219326e+01      -8.0000000e+00      -2.2874660e+01      -3.9848815e+01      -8.0000000e+00      -2.1688549e+01      -3.7478096e+01      -8.0000000e+00      -2.0502849e+01      -3.5107169e+01      -8.0000000e+00      -1.9317560e+01      -3.2736036e+01      -8.0000000e+00      -1.8132686e+01      -3.0364695e+01      -8.0000001e+00      -1.6948231e+01      -2.7993143e+01      -8.0000002e+00      -1.5764208e+01      -2.5621366e+01      -8.0000004e+00      -1.4580639e+01      -2.3249335e+01      -8.0000009e+00      -1.3397589e+01      -2.0876979e+01      -8.0000015e+00      -1.2215194e+01      -1.8504228e+01      -8.0000023e+00      -1.1033596e+01      -1.6131077e+01      -8.0000033e+00      -9.8528030e+00      -1.3757522e+01      -8.0000045e+00      -8.6728272e+00      -1.1383543e+01      -8.0000059e+00      -7.4937101e+00      -9.0092910e+00      -8.0000073e+00      -6.3151453e+00       1.2884271e+05       1.2883491e+05       1.2883180e+05       1.2883451e+05       1.2884316e+05       1.2885609e+05       1.2887002e+05       1.2888104e+05       1.2888614e+05       1.2888416e+05       1.2887604e+05       1.2886417e+05       1.2885125e+05       1.2883944e+05       1.2882983e+05       1.2882243e+05       1.2881644e+05       1.2881061e+05       1.2880363e+05       1.2879442e+05
    0.1400      -5.6438000e+01      -8.0000000e+00      -3.0000000e+01      -5.4069027e+01      -8.0000000e+00      -2.8811523e+01      -5.1699843e+01      -8.0000000e+00      -2.7623470e+01      -4.9330449e+01      -8.0000000e+00      -2.6435837e+01      -4.6960846e+01      -8.0000000e+00      -2.5248622e+01      -4.4591032e+01      -8.0000000e+00      -2.4061822e+01      -4.2221008e+01      -8.0000000e+00      -2.2875435e+01      -3.9850775e+01      -8.0000000e+00      -2.1689461e+01      -3.7480331e+01      -8.0000000e+00      -2.0503899e+01      -3.5109679e+01      -8.0000000e+00      -1.9318753e+01      -3.2738814e+01      -8.0000001e+00      -1.8134030e+01      -3.0367731e+01      -8.0000003e+00      -1.6949748e+01      -2.7996411e+01      -8.0000006e+00      -1.5765945e+01      -2.5624807e+01      -8.0000011e+00      -1.4582714e+01      -2.3252846e+01      -8.0000018e+00      -1.3400204e+01      -2.0880478e+01      -8.0000027e+00      -1.2218513e+01      -1.8507713e+01      -8.0000038e+00      -1.1037620e+01      -1.6134541e+01      -8.0000051e+00      -9.8575455e+00      -1.3760954e+01      -8.0000066e+00      -8.6783101e+00      -1.1386969e+01      -8.0000082e+00      -7.4998776e+00      -9.0126990e+00      -8.0000099e+00      -6.3220226e+00       1.2754843e+05       1.2754041e+05       1.2753683e+05       1.2753884e+05       1.2754667e+05       1.2755886e+05       1.2757242e+05       1.2758378e+05       1.2759016e+05       1.2759051e+05       1.2758573e+05       1.2757799e+05       1.2756973e+05       1.2756281e+05       1.2755802e+05       1.2755507e+05       1.2755293e+05       1.2755013e+05       1.2754516e+05       1.2753683e+05
    0.1600      -5.6438000e+01      -8.0000000e+00      -3.0000000e+01      -5.4069341e+01      -8.0000000e+00      -2.8811651e+01      -5.1700469e+01      -8.0000000e+00      -2.7623731e+01      -4.9331386e+01      -8.0000000e+00      -2.6436235e+01      -4.6962092e+01      -8.0000000e+00      -2.5249161e+01      -4.4592589e+01      -8.0000000e+00      -2.4062506e+01      -4.2222874e+01      -8.0000000e+00      -2.2876268e+01      -3.9852950e+01      -8.0000000e+00      -2.1690447e+01      -3.7482814e+01      -8.0000001e+00      -2.0505047e+01      -3.5112462e+01      -8.0000002e+00      -1.9320078e+01      -3.2741883e+01      -8.0000004e+00      -1.8135567e+01      -3.0371049e+01      -8.0000008e+00      -1.6951572e+01      -2.7999902e+01      -8.0000015e+00      -1.5768210e+01      -2.5628373e+01      -8.0000022e+00      -1.4585620e+01      -2.3256436e+01      -8.0000032e+00      -1.3403854e+01      -2.0884108e+01      -8.0000044e+00      -1.2222878e+01      -1.8511375e+01      -8.0000057e+00      -1.1042717e+01      -1.6138236e+01      -8.0000072e+00      -9.8633747e+00      -1.3764715e+01      -8.0000089e+00      -8.6848060e+00      -1.1390807e+01      -8.0000108e+00      -7.5070192e+00      -9.0166120e+00      -8.0000128e+00      -6.3298151e+00       1.2612854e+05       1.2611904e+05       1.2611246e+05       1.2610998e+05       1.2611197e+05       1.2611731e+05       1.2612350e+05       1.2612753e+05       1.2612710e+05       1.2612147e+05       1.2611160e+05       1.2609960e+05       1.2608775e+05       1.2607775e+05       1.2607029e+05       1.2606503e+05       1.2606093e+05       1.2605653e+05       1.2605037e+05       1.2604126e+05
    0.1800      -5.6438000e+01      -8.0000000e+00      -3.0000000e+01      -5.4069705e+01      -8.0000000e+00      -2.8811796e+01      -5.1701194e+01      -8.0000000e+00      -2.7624024e+01      -4.9332471e+01      -8.0000000e+00      -2.6436682e+01      -4.6963534e+01      -8.0000000e+00      -2.5249767e+01      -4.4594384e+01      -8.0000000e+00      -2.4063275e+01      -4.2225021e+01      -8.0000000e+00      -2.2877207e+01      -3.9855442e+01      -8.0000001e+00      -2.1691568e+01      -3.7485638e+01      -8.0000003e+00      -2.0506374e+01      -3.5115594e+01      -8.0000006e+00      -1.9321662e+01      -3.2745268e+01      -8.0000011e+00      -1.8137513e+01      -3.0374598e+01      -8.0000018e+00      -1.6954057e+01      -2.8003528e+01      -8.0000027e+00      -1.5771408e+01      -2.5632054e+01      -8.0000037e+00      -1.4589572e+01      -2.3260194e+01      -8.0000050e+00      -1.3408516e+01      -2.0887931e+01      -8.0000064e+00      -1.2228269e+01      -1.8515276e+01      -8.0000079e+00      -1.1048813e+01      -1.6142249e+01      -8.0000097e+00      -9.8701078e+00      -1.3768846e+01      -8.0000116e+00      -8.6921602e+00      -1.1395080e+01      -8.0000137e+00      -7.5149453e+00      -9.0210165e+00      -8.0000160e+00      -6.3383378e+00       1.2449124e+05       1.2448179e+05       1.2447524e+05       1.2447269e+05       1.2447449e+05       1.2447970e+05       1.2448611e+05       1.2449105e+05       1.2449245e+05       1.2448960e+05       1.2448333e+05       1.2447541e+05       1.2446777e+05       1.2446177e+05       1.2445787e+05       1.2445557e+05       1.2445376e+05       1.2445096e+05       1.2444573e+05       1.2443691e+05
