      Time            FairTen1            FairTen2            FairTen3            FairTen4            FairTen5            FairTen6            FairTen7            FairTen8
    0.0000       2.5860722e+05       2.5860722e+05       2.5860722e+05       2.5860722e+05       2.5860722e+05       2.5860722e+05       2.5860722e+05       2.5860722e+05
    0.0200       2.5876308e+05       2.5876308e+05       2.5876307e+05       2.5876307e+05       2.5876306e+05       2.5876305e+05       2.5876306e+05       2.5876306e+05
    0.0400       2.5916303e+05       2.5916303e+05       2.5916301e+05       2.5916301e+05       2.5916294e+05       2.5916291e+05       2.5916293e+05       2.5916296e+05
    0.0600       2.5967632e+05       2.5967634e+05       2.5967628e+05       2.5967630e+05       2.5967613e+05       2.5967605e+05       2.5967611e+05       2.5967615e+05
    0.0800       2.6012920e+05       2.6012926e+05       2.6012915e+05       2.6012920e+05       2.6012889e+05       2.6012872e+05       2.6012884e+05       2.6012889e+05
    0.1000       2.6088553e+05       2.6088565e+05       2.6088546e+05       2.6088556e+05       2.6088507e+05       2.6088479e+05       2.6088498e+05       2.6088504e+05
    0.1200       2.6154841e+05       2.6154862e+05       2.6154833e+05       2.6154849e+05       2.6154779e+05       2.6154737e+05       2.6154765e+05       2.6154770e+05
    0.1400       2.6233534e+05       2.6233565e+05       2.6233526e+05       2.6233548e+05       2.6233454e+05       2.6233397e+05       2.6233436e+05       2.6233440e+05
    0.1600       2.6331983e+05       2.6332022e+05       2.6331971e+05       2.6332001e+05       2.6331881e+05       2.6331808e+05       2.6331859e+05       2.6331863e+05
    0.1800       2.6424291e+05       2.6424341e+05       2.6424277e+05       2.6424314e+05       2.6424166e+05       2.6424074e+05       2.6424138e+05       2.6424143e+05
    0.2000       2.6533806e+05       2.6533866e+05       2.6533788e+05       2.6533833e+05       2.6533655e+05       2.6533545e+05       2.6533623e+05       2.6533628e+05
    0.2200       2.6652985e+05       2.6653055e+05       2.6652962e+05       2.6653015e+05       2.6652805e+05       2.6652676e+05       2.6652770e+05       2.6652775e+05
    0.2400       2.6773873e+05       2.6773955e+05       2.6773844e+05       2.6773907e+05       2.6773662e+05       2.6773511e+05       2.6773622e+05       2.6773628e+05
    0.2600       2.6909277e+05       2.6909371e+05       2.6909241e+05       2.6909314e+05       2.6909033e+05       2.6908861e+05       2.6908990e+05       2.6908996e+05
    0.2800       2.7049030e+05       2.7049136e+05       2.7048987e+05       2.7049070e+05       2.7048750e+05       2.7048555e+05       2.7048705e+05       2.7048711e+05
    0.3000       2.7194638e+05       2.7194757e+05       2.7194585e+05       2.7194680e+05       2.7194320e+05       2.7194101e+05       2.7194273e+05       2.7194278e+05
    0.3200       2.7349884e+05       2.7350015e+05       2.7349819e+05       2.7349925e+05       2.7349524e+05       2.7349282e+05       2.7349478e+05       2.7349483e+05
    0.3400       2.7508334e+05       2.7508477e+05       2.7508255e+05       2.7508374e+05       2.7507930e+05       2.7507664e+05       2.7507886e+05       2.7507890e+05
    0.3600       2.7673415e+05       2.7673569e+05       2.7673318e+05       2.7673450e+05       2.7672964e+05       2.7672675e+05       2.7672925e+05       2.7672928e+05
    0.3800       2.7844509e+05       2.7844674e+05       2.7844392e+05       2.7844538e+05       2.7844008e+05       2.7843697e+05       2.7843978e+05       2.7843980e+05
    0.4000       2.8019091e+05       2.8019264e+05       2.8018950e+05       2.8019109e+05       2.8018535e+05       2.8018204e+05       2.8018518e+05       2.8018517e+05
    0.4200       2.8199250e+05       2.8199431e+05       2.8199080e+05       2.8199254e+05       2.8198637e+05       2.8198286e+05       2.8198636e+05       2.8198632e+05
    0.4400       2.8383263e+05       2.8383449e+05       2.8383060e+05       2.8383249e+05       2.8382587e+05       2.8382219e+05       2.8382608e+05       2.8382601e+05
    0.4600       2.8570532e+05       2.8570722e+05       2.8570290e+05       2.8570496e+05       2.8569789e+05       2.8569405e+05       2.8569837e+05       2.8569825e+05
    0.4800       2.8761546e+05       2.8761738e+05       2.8761259e+05       2.8761483e+05       2.8760732e+05       2.8760335e+05       2.8760813e+05       2.8760795e+05
    0.5000       2.8954875e+05       2.8955067e+05       2.8954538e+05       2.8954779e+05       2.8953984e+05       2.8953576e+05       2.8954106e+05       2.8954080e+05
    0.5200       2.9150419e+05       2.9150607e+05       2.9150023e+05       2.9150284e+05       2.9149445e+05       2.9149030e+05       2.9149614e+05       2.9149580e+05
    0.5400       2.9347820e+05       2.9348001e+05       2.9347357e+05       2.9347639e+05       2.9346757e+05       2.9346338e+05       2.9346982e+05       2.9346938e+05
    0.5600       2.9546179e+05       2.9546351e+05       2.9545641e+05       2.9545945e+05       2.9545020e+05       2.9544601e+05       2.9545311e+05       2.9545254e+05
    0.5800       2.9745331e+05       2.9745489e+05       2.9744708e+05       2.9745036e+05       2.9744068e+05       2.9743654e+05       2.9744435e+05       2.9744364e+05
    0.6000       2.9944680e+05       2.9944819e+05       2.9943961e+05       2.9944314e+05       2.9943305e+05       2.9942901e+05       2.9943759e+05       2.9943672e+05
    0.6200       3.0143659e+05       3.0143775e+05       3.0142832e+05       3.0143213e+05       3.0142163e+05       3.0141773e+05       3.0142716e+05       3.0142609e+05
    0.6400       3.0341942e+05       3.0342030e+05       3.0340995e+05       3.0341406e+05       3.0340315e+05       3.0339945e+05       3.0340981e+05       3.0340851e+05
    0.6600       3.0538942e+05       3.0538997e+05       3.0537861e+05       3.0538305e+05       3.0537174e+05       3.0536830e+05       3.0537966e+05       3.0537811e+05
    0.6800       3.0734205e+05       3.0734221e+05       3.0732976e+05       3.0733455e+05       3.0732284e+05       3.0731973e+05       3.0733218e+05       3.0733034e+05
    0.7000       3.0927299e+05       3.0927271e+05       3.0925908e+05       3.0926424e+05       3.0925214e+05       3.0924943e+05       3.0926306e+05       3.0926089e+05
    0.7200       3.1117694e+05       3.1117615e+05       3.1116124e+05       3.1116681e+05       3.1115432e+05       3.1115208e+05       3.1116699e+05       3.1116444e+05
    0.7400       3.1304960e+05       3.1304823e+05       3.1303193e+05       3.1303795e+05       3.1302506e+05       3.1302337e+05       3.1303967e+05       3.1303671e+05
    0.7600       3.1488637e+05       3.1488434e+05       3.1486654e+05       3.1487305e+05       3.1485976e+05       3.1485870e+05       3.1487650e+05       3.1487307e+05
    0.7800       3.1668255e+05       3.1667980e+05       3.1666038e+05       3.1666742e+05       3.1665372e+05       3.1665338e+05       3.1667280e+05       3.1666886e+05
    0.8000       3.1843402e+05       3.1843047e+05       3.1840929e+05       3.1841691e+05       3.1840280e+05       3.1840326e+05       3.1842444e+05       3.1841992e+05
    0.8200       3.2013643e+05       3.2013200e+05       3.2010893e+05       3.2011717e+05       3.2010265e+05       3.2010400e+05       3.2012706e+05       3.2012191e+05
    0.8400       3.2178569e+05       3.2178028e+05       3.2175519e+05       3.2176410e+05       3.2174915e+05       3.2175150e+05       3.2177659e+05       3.2177074e+05
    0.8600       3.2337795e+05       3.2337149e+05       3.2334421e+05       3.2335385e+05       3.2333845e+05       3.2334190e+05       3.2336917e+05       3.2336255e+05
    0.8800       3.2490935e+05       3.2490173e+05       3.2487211e+05       3.2488254e+05       3.2486667e+05       3.2487132e+05       3.2490094e+05       3.2489347e+05
    0.9000       3.2637628e+05       3.2636741e+05       3.2633529e+05       3.2634658e+05       3.2633021e+05       3.2633617e+05       3.2636829e+05       3.2635991e+05
    0.9200       3.2777529e+05       3.2776507e+05       3.2773028e+05       3.2774249e+05       3.2772560e+05       3.2773299e+05       3.2776778e+05       3.2775841e+05
    0.9400       3.2910305e+05       3.2909138e+05       3.2905372e+05       3.2906693e+05       3.2904949e+05       3.2905841e+05       3.2909607e+05       3.2908561e+05
    0.9600       3.3035646e+05       3.3034324e+05       3.3030253e+05       3.3031681e+05       3.3029878e+05       3.3030935e+05       3.3035006e+05       3.3033843e+05
    0.9800       3.3153260e+05       3.3151771e+05       3.3147375e+05       3.3148918e+05       3.3147052e+05       3.3148287e+05       3.3152684e+05       3.3151394e+05
    1.0000       3.3262872e+05       3.3261206e+05       3.3256464e+05       3.3258131e+05       3.3256197e+05       3.3257623e+05       3.3262364e+05       3.3260938e+05
    1.0200       3.3364234e+05       3.3362378e+05       3.3357270e+05       3.3359070e+05       3.3357063e+05       3.3358690e+05       3.3363799e+05       3.3362226e+05
    1.0400       3.3457113e+05       3.3455056e+05       3.3449559e+05       3.3451502e+05       3.3449416e+05       3.3451259e+05       3.3456756e+05       3.3455026e+05
    1.0600       3.3541302e+05       3.3539033e+05       3.3533124e+05       3.3535219e+05       3.3533047e+05       3.3535119e+05       3.3541028e+05       3.3539130e+05
    1.0800       3.3616616e+05       3.3614123e+05       3.3607778e+05       3.3610036e+05       3.3607772e+05       3.3610086e+05       3.3616430e+05       3.3614352e+05
    1.1000       3.3682893e+05       3.3680162e+05       3.3673359e+05       3.3675790e+05       3.3673426e+05       3.3675995e+05       3.3682798e+05       3.3680529e+05
    1.1200       3.3739994e+05       3.3737014e+05       3.3729726e+05       3.3732341e+05       3.3729869e+05       3.3732707e+05       3.3739995e+05       3.3737521e+05
    1.1400       3.3787803e+05       3.3784561e+05       3.3776763e+05       3.3779575e+05       3.3776986e+05       3.3780106e+05       3.3787904e+05       3.3785213e+05
    1.1600       3.3826227e+05       3.3822710e+05       3.3814376e+05       3.3817396e+05       3.3814680e+05       3.3818097e+05       3.3826432e+05       3.3823511e+05
    1.1800       3.3855195e+05       3.3851390e+05       3.3842493e+05       3.3845734e+05       3.3842881e+05       3.3846609e+05       3.3855507e+05       3.3852342e+05
