      Time            FairTen1            FairTen2            FairTen3            FairTen4            FairTen5            FairTen6            FairTen7            FairTen8
    0.0000       2.5860722e+05       2.5860722e+05       2.5860722e+05       2.5860722e+05       2.5860722e+05       2.5860722e+05       2.5860722e+05       2.5860722e+05
    0.0200       2.5876308e+05       2.5876308e+05       2.5876307e+05       2.5876307e+05       2.5876306e+05       2.5876305e+05       2.5876306e+05       2.5876306e+05
    0.0400       2.5916303e+05       2.5916303e+05       2.5916301e+05       2.5916301e+05       2.5916294e+05       2.5916291e+05       2.5916293e+05       2.5916296e+05
    0.0600       2.5967632e+05       2.5967634e+05       2.5967628e+05       2.5967630e+05       2.5967613e+05       2.5967605e+05       2.5967611e+05       2.5967615e+05
    0.0800       2.6012920e+05       2.6012926e+05       2.6012915e+05       2.6012920e+05       2.6012889e+05       2.6012872e+05       2.6012884e+05       2.6012889e+05
    0.1000       2.6088553e+05       2.6088565e+05       2.6088546e+05       2.6088556e+05       2.6088507e+05       2.6088479e+05       2.6088498e+05       2.6088504e+05
    0.1200       2.6154841e+05       2.6154862e+05       2.6154833e+05       2.6154849e+05       2.6154779e+05       2.6154737e+05       2.6154765e+05       2.6154770e+05
    0.1400       2.6233534e+05       2.6233565e+05       2.6233526e+05       2.6233549e+05       2.6233454e+05       2.6233396e+05       2.6233436e+05       2.6233440e+05
    0.1600       2.6331983e+05       2.6332023e+05       2.6331972e+05       2.6332001e+05       2.6331881e+05       2.6331807e+05       2.6331858e+05       2.6331863e+05
    0.1800       2.6424291e+05       2.6424341e+05       2.6424277e+05       2.6424315e+05       2.6424166e+05       2.6424074e+05       2.6424138e+05       2.6424142e+05
    0.2000       2.6533806e+05       2.6533867e+05       2.6533789e+05       2.6533835e+05       2.6533655e+05       2.6533545e+05       2.6533623e+05       2.6533627e+05
    0.2200       2.6652985e+05       2.6653057e+05       2.6652963e+05       2.6653017e+05       2.6652806e+05       2.6652675e+05       2.6652768e+05       2.6652773e+05
    0.2400       2.6773873e+05       2.6773957e+05       2.6773846e+05       2.6773910e+05       2.6773662e+05       2.6773510e+05       2.6773620e+05       2.6773625e+05
    0.2600       2.6909277e+05       2.6909374e+05       2.6909245e+05       2.6909319e+05       2.6909034e+05       2.6908858e+05       2.6908987e+05       2.6908992e+05
    0.2800       2.7049030e+05       2.7049141e+05       2.7048991e+05       2.7049077e+05       2.7048751e+05       2.7048551e+05       2.7048701e+05       2.7048705e+05
    0.3000       2.7194638e+05       2.7194763e+05       2.7194592e+05       2.7194689e+05       2.7194321e+05       2.7194096e+05       2.7194267e+05       2.7194270e+05
    0.3200       2.7349883e+05       2.7350023e+05       2.7349828e+05       2.7349938e+05       2.7349526e+05       2.7349275e+05       2.7349470e+05       2.7349471e+05
    0.3400       2.7508333e+05       2.7508488e+05       2.7508267e+05       2.7508391e+05       2.7507933e+05       2.7507655e+05       2.7507876e+05       2.7507875e+05
    0.3600       2.7673414e+05       2.7673584e+05       2.7673335e+05       2.7673473e+05       2.7672967e+05       2.7672663e+05       2.7672912e+05       2.7672908e+05
    0.3800       2.7844508e+05       2.7844692e+05       2.7844413e+05       2.7844567e+05       2.7844013e+05       2.7843681e+05       2.7843961e+05       2.7843953e+05
    0.4000       2.8019089e+05       2.8019289e+05       2.8018977e+05       2.8019146e+05       2.8018541e+05       2.8018183e+05       2.8018495e+05       2.8018484e+05
    0.4200       2.8199247e+05       2.8199461e+05       2.8199114e+05       2.8199301e+05       2.8198644e+05       2.8198260e+05       2.8198607e+05       2.8198590e+05
    0.4400       2.8383259e+05       2.8383487e+05       2.8383102e+05       2.8383308e+05       2.8382596e+05       2.8382186e+05       2.8382572e+05       2.8382547e+05
    0.4600       2.8570527e+05       2.8570769e+05       2.8570342e+05       2.8570568e+05       2.8569800e+05       2.8569364e+05       2.8569792e+05       2.8569759e+05
    0.4800       2.8761540e+05       2.8761795e+05       2.8761323e+05       2.8761571e+05       2.8760745e+05       2.8760284e+05       2.8760757e+05       2.8760714e+05
    0.5000       2.8954867e+05       2.8955136e+05       2.8954614e+05       2.8954886e+05       2.8954000e+05       2.8953515e+05       2.8954038e+05       2.8953981e+05
    0.5200       2.9150410e+05       2.9150691e+05       2.9150115e+05       2.9150413e+05       2.9149464e+05       2.9148956e+05       2.9149532e+05       2.9149461e+05
    0.5400       2.9347808e+05       2.9348101e+05       2.9347466e+05       2.9347793e+05       2.9346779e+05       2.9346249e+05       2.9346884e+05       2.9346795e+05
    0.5600       2.9546165e+05       2.9546469e+05       2.9545770e+05       2.9546128e+05       2.9545047e+05       2.9544495e+05       2.9545194e+05       2.9545084e+05
    0.5800       2.9745315e+05       2.9745629e+05       2.9744860e+05       2.9745251e+05       2.9744100e+05       2.9743528e+05       2.9744297e+05       2.9744163e+05
    0.6000       2.9944661e+05       2.9944984e+05       2.9944139e+05       2.9944567e+05       2.9943342e+05       2.9942753e+05       2.9943597e+05       2.9943435e+05
    0.6200       3.0143636e+05       3.0143967e+05       3.0143040e+05       3.0143507e+05       3.0142205e+05       3.0141600e+05       3.0142527e+05       3.0142333e+05
    0.6400       3.0341914e+05       3.0342252e+05       3.0341235e+05       3.0341747e+05       3.0340364e+05       3.0339744e+05       3.0340761e+05       3.0340531e+05
    0.6600       3.0538910e+05       3.0539252e+05       3.0538138e+05       3.0538698e+05       3.0537229e+05       3.0536598e+05       3.0537712e+05       3.0537441e+05
    0.6800       3.0734167e+05       3.0734514e+05       3.0733294e+05       3.0733906e+05       3.0732347e+05       3.0731706e+05       3.0732926e+05       3.0732608e+05
    0.7000       3.0927256e+05       3.0927606e+05       3.0926271e+05       3.0926940e+05       3.0925286e+05       3.0924636e+05       3.0925971e+05       3.0925601e+05
    0.7200       3.1117644e+05       3.1117996e+05       3.1116537e+05       3.1117269e+05       3.1115513e+05       3.1114858e+05       3.1116317e+05       3.1115889e+05
    0.7400       3.1304903e+05       3.1305255e+05       3.1303660e+05       3.1304461e+05       3.1302597e+05       3.1301939e+05       3.1303534e+05       3.1303040e+05
    0.7600       3.1488571e+05       3.1488922e+05       3.1487182e+05       3.1488057e+05       3.1486079e+05       3.1485420e+05       3.1487160e+05       3.1486593e+05
    0.7800       3.1668181e+05       3.1668529e+05       3.1666631e+05       3.1667588e+05       3.1665487e+05       3.1664830e+05       3.1666729e+05       3.1666081e+05
    0.8000       3.1843318e+05       3.1843662e+05       3.1841594e+05       3.1842639e+05       3.1840409e+05       3.1839756e+05       3.1841824e+05       3.1841088e+05
    0.8200       3.2013549e+05       3.2013887e+05       3.2011635e+05       3.2012778e+05       3.2010407e+05       3.2009761e+05       3.2012013e+05       3.2011179e+05
    0.8400       3.2178463e+05       3.2178795e+05       3.2176345e+05       3.2177592e+05       3.2175073e+05       3.2174436e+05       3.2176886e+05       3.2175944e+05
    0.8600       3.2337677e+05       3.2338000e+05       3.2335338e+05       3.2336699e+05       3.2334020e+05       3.2333396e+05       3.2336057e+05       3.2334998e+05
    0.8800       3.2490802e+05       3.2491116e+05       3.2488226e+05       3.2489710e+05       3.2486861e+05       3.2486251e+05       3.2489140e+05       3.2487953e+05
    0.9000       3.2637481e+05       3.2637783e+05       3.2634650e+05       3.2636266e+05       3.2633234e+05       3.2632641e+05       3.2635774e+05       3.2634449e+05
    0.9200       3.2777366e+05       3.2777656e+05       3.2774262e+05       3.2776021e+05       3.2772794e+05       3.2772221e+05       3.2775615e+05       3.2774139e+05
    0.9400       3.2910124e+05       3.2910400e+05       3.2906727e+05       3.2908641e+05       3.2905205e+05       3.2904654e+05       3.2908327e+05       3.2906688e+05
    0.9600       3.3035447e+05       3.3035708e+05       3.3031737e+05       3.3033818e+05       3.3030158e+05       3.3029632e+05       3.3033602e+05       3.3031787e+05
    0.9800       3.3153040e+05       3.3153285e+05       3.3148998e+05       3.3151257e+05       3.3147358e+05       3.3146859e+05       3.3151146e+05       3.3149141e+05
    1.0000       3.3262631e+05       3.3262859e+05       3.3258234e+05       3.3260685e+05       3.3256530e+05       3.3256061e+05       3.3260685e+05       3.3258476e+05
    1.0200       3.3363969e+05       3.3364178e+05       3.3359196e+05       3.3361852e+05       3.3357424e+05       3.3356987e+05       3.3361969e+05       3.3359541e+05
    1.0400       3.3456823e+05       3.3457013e+05       3.3451651e+05       3.3454526e+05       3.3449807e+05       3.3449404e+05       3.3454766e+05       3.3452104e+05
    1.0600       3.3540985e+05       3.3541156e+05       3.3535392e+05       3.3538500e+05       3.3533471e+05       3.3533104e+05       3.3538868e+05       3.3535956e+05
    1.0800       3.3616272e+05       3.3616422e+05       3.3610232e+05       3.3613589e+05       3.3608230e+05       3.3607901e+05       3.3614091e+05       3.3610912e+05
    1.1000       3.3682518e+05       3.3682647e+05       3.3676008e+05       3.3679630e+05       3.3673920e+05       3.3673630e+05       3.3680270e+05       3.3676808e+05
    1.1200       3.3739587e+05       3.3739694e+05       3.3732580e+05       3.3736485e+05       3.3730401e+05       3.3730152e+05       3.3737266e+05       3.3733503e+05
    1.1400       3.3787363e+05       3.3787448e+05       3.3779834e+05       3.3784038e+05       3.3777557e+05       3.3777352e+05       3.3784965e+05       3.3780882e+05
    1.1600       3.3825751e+05       3.3825814e+05       3.3817674e+05       3.3822195e+05       3.3815293e+05       3.3815132e+05       3.3823272e+05       3.3818850e+05
    1.1800       3.3854681e+05       3.3854721e+05       3.3846029e+05       3.3850885e+05       3.3843538e+05       3.3843422e+05       3.3852114e+05       3.3847335e+05
