      Time            FairTen1            FairTen2            FairTen3            FairTen4            FairTen5            FairTen6            FairTen7            FairTen8
    0.0000       9.4050466e+04       9.4050466e+04       1.2243455e+05       9.4050466e+04       9.4050466e+04       9.4050466e+04       9.4050466e+04       9.4050466e+04
    0.0200       9.4314014e+04       9.4314008e+04       1.2270090e+05       9.4313999e+04       9.4313983e+04       9.4313977e+04       9.4313976e+04       9.4313999e+04
    0.0400       9.5416834e+04       9.5396537e+04       1.2377894e+05       9.5404662e+04       9.5402849e+04       9.5394139e+04       9.5409316e+04       9.5415016e+04
    0.0600       9.6640100e+04       9.6540733e+04       1.2487289e+05       9.6577239e+04       9.6566419e+04       9.6529695e+04       9.6605947e+04       9.6629266e+04
    0.0800       9.8701038e+04       9.8520311e+04       1.2680081e+05       9.8569253e+04       9.8538018e+04       9.8502356e+04       9.8648258e+04       9.8669799e+04
    0.1000       1.0114779e+05       1.0084082e+05       1.2903537e+05       1.0091391e+05       1.0085470e+05       1.0081117e+05       1.0106401e+05       1.0108860e+05
    0.1200       1.0424111e+05       1.0379559e+05       1.3189621e+05       1.0388912e+05       1.0379557e+05       1.0375360e+05       1.0412630e+05       1.0414756e+05
    0.1400       1.0773752e+05       1.0711999e+05       1.3510193e+05       1.0724325e+05       1.0711062e+05       1.0706176e+05       1.0758226e+05       1.0760486e+05
    0.1600       1.1170442e+05       1.1089917e+05       1.3875170e+05       1.1105460e+05       1.1087996e+05       1.1082295e+05       1.1150518e+05       1.1152968e+05
    0.1800       1.1604280e+05       1.1502440e+05       1.4272842e+05       1.1521915e+05       1.1499953e+05       1.1492706e+05       1.1579258e+05       1.1582303e+05
    0.2000       1.2076995e+05       1.1952060e+05       1.4706256e+05       1.1975853e+05       1.1949161e+05       1.1940000e+05       1.2046446e+05       1.2050286e+05
    0.2200       1.2587099e+05       1.2436904e+05       1.5173147e+05       1.2465475e+05       1.2433755e+05       1.2422255e+05       1.2550525e+05       1.2555366e+05
    0.2400       1.3136140e+05       1.2958739e+05       1.5675443e+05       1.2992392e+05       1.2955336e+05       1.2941266e+05       1.3093154e+05       1.3099080e+05
    0.2600       1.3725129e+05       1.3518500e+05       1.6214013e+05       1.3557506e+05       1.3514776e+05       1.3497949e+05       1.3675363e+05       1.3682409e+05
    0.2800       1.4354517e+05       1.4116737e+05       1.6789386e+05       1.4161311e+05       1.4112583e+05       1.4092854e+05       1.4297653e+05       1.4305819e+05
    0.3000       1.5023850e+05       1.4753102e+05       1.7401332e+05       1.4803437e+05       1.4748418e+05       1.4725628e+05       1.4959603e+05       1.4968887e+05
    0.3200       1.5731397e+05       1.5425993e+05       1.8048339e+05       1.5482273e+05       1.5420717e+05       1.5394668e+05       1.5659513e+05       1.5669930e+05
    0.3400       1.6474789e+05       1.6133217e+05       1.8728364e+05       1.6195612e+05       1.6127325e+05       1.6097781e+05       1.6395051e+05       1.6406630e+05
    0.3600       1.7251099e+05       1.6871987e+05       1.9438730e+05       1.6940663e+05       1.6865489e+05       1.6832186e+05       1.7163321e+05       1.7176101e+05
    0.3800       1.8057442e+05       1.7639567e+05       2.0176821e+05       1.7714671e+05       1.7632485e+05       1.7595152e+05       1.7961472e+05       1.7975488e+05
    0.4000       1.8891123e+05       1.8433380e+05       2.0940138e+05       1.8515039e+05       1.8425732e+05       1.8384105e+05       1.8786840e+05       1.8802113e+05
    0.4200       1.9749832e+05       1.9251225e+05       2.1726548e+05       1.9339545e+05       1.9243014e+05       1.9196847e+05       1.9637146e+05       1.9653672e+05
    0.4400       2.0631566e+05       2.0091197e+05       2.2534205e+05       2.0186262e+05       2.0082406e+05       2.0031476e+05       2.0510414e+05       2.0528162e+05
    0.4600       2.1534496e+05       2.0951575e+05       2.3361471e+05       2.1053444e+05       2.0942166e+05       2.0886268e+05       2.1404845e+05       2.1423761e+05
    0.4800       2.2456809e+05       2.1830653e+05       2.4206723e+05       2.1939371e+05       2.1820577e+05       2.1759519e+05       2.2318651e+05       2.2338657e+05
    0.5000       2.3396560e+05       2.2726604e+05       2.5068229e+05       2.2842203e+05       2.2715808e+05       2.2649404e+05       2.3249910e+05       2.3270914e+05
    0.5200       2.4351595e+05       2.3637397e+05       2.5944058e+05       2.3759903e+05       2.3625825e+05       2.3553894e+05       2.4196491e+05       2.4218383e+05
    0.5400       2.5319549e+05       2.4560795e+05       2.6832073e+05       2.4690224e+05       2.4548391e+05       2.4470753e+05       2.5156049e+05       2.5178707e+05
    0.5600       2.6297902e+05       2.5494400e+05       2.7729979e+05       2.5630767e+05       2.5481108e+05       2.5397589e+05       2.6126081e+05       2.6149368e+05
    0.5800       2.7284060e+05       2.6435741e+05       2.8635398e+05       2.6579051e+05       2.6421499e+05       2.6331933e+05       2.7104012e+05       2.7127774e+05
    0.6000       2.8275439e+05       2.7382348e+05       2.9545950e+05       2.7532603e+05       2.7367088e+05       2.7271319e+05       2.8087275e+05       2.8111337e+05
